BBLLADNB_00001	K01868	threonyl-tRNA synthetase [EC:6.1.1.3] 
BBLLADNB_00733	K03438	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
BBLLADNB_00734	K03925	MraZ protein  
BBLLADNB_00738	K07056	16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
BBLLADNB_00739	K07460	putative endonuclease  
BBLLADNB_00754	K01791	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
BBLLADNB_00760	K07064	uncharacterized protein  
BBLLADNB_00763	K18828	tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-]
BBLLADNB_00764	K18829	antitoxin VapB  
BBLLADNB_00765	K08679	UDP-glucuronate 4-epimerase [EC:5.1.3.6] 
BBLLADNB_00766	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] 
BBLLADNB_00768	K07461	putative endonuclease  
BBLLADNB_00772	K03600	stringent starvation protein B
BBLLADNB_00775	K05568	multicomponent Na+:H+ antiporter subunit
BBLLADNB_00777	K05568	multicomponent Na+:H+ antiporter subunit
BBLLADNB_00778	K05568	multicomponent Na+:H+ antiporter subunit
BBLLADNB_00779	K05567	multicomponent Na+:H+ antiporter subunit
BBLLADNB_00780	K05566	multicomponent Na+:H+ antiporter subunit
BBLLADNB_00782	K05571	multicomponent Na+:H+ antiporter subunit
BBLLADNB_00783	K05570	multicomponent Na+:H+ antiporter subunit
BBLLADNB_00784	K05569	multicomponent Na+:H+ antiporter subunit
BBLLADNB_00786	K14987	two-component system, LuxR family,
BBLLADNB_00791	K07001	NTE family protein 
BBLLADNB_00794	K03594	bacterioferritin [EC:1.16.3.1]  
BBLLADNB_00795	K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96] 
BBLLADNB_00797	K16264	cobalt-zinc-cadmium efflux system protein
BBLLADNB_00798	K18930	D-lactate dehydrogenase  
BBLLADNB_00805	K07343	DNA transformation protein and
BBLLADNB_00806	K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
BBLLADNB_00807	K08972	putative membrane protein 
BBLLADNB_00809	K06996	uncharacterized protein  
BBLLADNB_00812	K16216	benzil reductase ((S)-benzoin forming)
BBLLADNB_00818	K00372	assimilatory nitrate reductase catalytic
BBLLADNB_00820	K02030	polar amino acid transport
BBLLADNB_00821	K00285	D-amino-acid dehydrogenase [EC:1.4.5.1] 
BBLLADNB_00822	K00895	diphosphate-dependent phosphofructokinase [EC:2.7.1.90] 
BBLLADNB_00823	K01624	fructose-bisphosphate aldolase, class II
BBLLADNB_00824	K03325	arsenite transporter  
BBLLADNB_00825	K03892	ArsR family transcriptional regulator,
BBLLADNB_00826	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
BBLLADNB_00828	K01689	enolase [EC:4.2.1.11]  
BBLLADNB_00829	K00873	pyruvate kinase [EC:2.7.1.40] 
BBLLADNB_00830	K07278	translocation and assembly module
BBLLADNB_00833	K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
BBLLADNB_00834	K07262	serine-type D-Ala-D-Ala endopeptidase (penicillin-binding
BBLLADNB_00839	K02492	glutamyl-tRNA reductase [EC:1.2.1.70] 
BBLLADNB_00840	K02835	peptide chain release factor
BBLLADNB_00841	K02493	release factor glutamine methyltransferase
BBLLADNB_00842	K07390	monothiol glutaredoxin  
BBLLADNB_00843	K01607	4-carboxymuconolactone decarboxylase [EC:4.1.1.44] 
BBLLADNB_00844	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
BBLLADNB_00844	K08884	serine/threonine protein kinase, bacterial
BBLLADNB_00845	K01755	argininosuccinate lyase [EC:4.3.2.1] 
BBLLADNB_00846	K08082	two-component system, LytTR family,
BBLLADNB_00847	K08083	two-component system, LytTR family,
BBLLADNB_00849	K01749	hydroxymethylbilane synthase [EC:2.5.1.61] 
BBLLADNB_00850	K01719	uroporphyrinogen-III synthase [EC:4.2.1.75] 
BBLLADNB_00851	K02496	uroporphyrin-III C-methyltransferase [EC:2.1.1.107] 
BBLLADNB_00852	K02498	HemY protein  
BBLLADNB_00853	K00228	coproporphyrinogen III oxidase [EC:1.3.3.3]
BBLLADNB_00854	K01945	phosphoribosylamine---glycine ligase [EC:6.3.4.13] 
BBLLADNB_00855	K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP
BBLLADNB_00856	K03557	Fis family transcriptional regulator,
BBLLADNB_00857	K05540	tRNA-dihydrouridine synthase B [EC:1.-.-.-]
BBLLADNB_00858	K03608	cell division topological specificity
BBLLADNB_00861	K17989	L-serine/L-threonine ammonia-lyase [EC:4.3.1.17 4.3.1.19]
BBLLADNB_00863	K22468	polyphosphate kinase [EC:2.7.4.1] 
BBLLADNB_00865	K01578	malonyl-CoA decarboxylase [EC:4.1.1.9] 
BBLLADNB_00866	K13292	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
BBLLADNB_00867	K01687	dihydroxy-acid dehydratase [EC:4.2.1.9] 
BBLLADNB_00869	K01999	branched-chain amino acid transport
BBLLADNB_00870	K01997	branched-chain amino acid transport
BBLLADNB_00871	K01998	branched-chain amino acid transport
BBLLADNB_00872	K01995	branched-chain amino acid transport
BBLLADNB_00872	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_00873	K01996	branched-chain amino acid transport
BBLLADNB_00873	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_00875	K00523	CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]
BBLLADNB_00877	K08973	putative membrane protein 
BBLLADNB_00878	K07444	putative N6-adenine-specific DNA methylase
BBLLADNB_00879	K02670	twitching motility protein PilU
BBLLADNB_00880	K02669	twitching motility protein PilT
BBLLADNB_00881	K06997	PLP dependent protein 
BBLLADNB_00882	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2] 
BBLLADNB_00883	K02221	YggT family protein 
BBLLADNB_00884	K09131	uncharacterized protein  
BBLLADNB_00885	K01465	dihydroorotase [EC:3.5.2.3]  
BBLLADNB_00886	K00609	aspartate carbamoyltransferase catalytic subunit
BBLLADNB_00887	K02825	pyrimidine operon attenuation protein
BBLLADNB_00888	K07447	putative holliday junction resolvase
BBLLADNB_00889	K07735	putative transcriptional regulator 
BBLLADNB_00890	K01669	deoxyribodipyrimidine photo-lyase [EC:4.1.99.3] 
BBLLADNB_00897	K07741	anti-repressor protein  
BBLLADNB_00902	K01174	micrococcal nuclease [EC:3.1.31.1] 
BBLLADNB_00903	K07451	5-methylcytosine-specific restriction enzyme A
BBLLADNB_00917	K21039	enterobacteria phage integrase [EC:2.7.7.-
BBLLADNB_00918	K23549	uptake hydrogenase large subunit
BBLLADNB_00919	K23548	uptake hydrogenase small subunit
BBLLADNB_00920	K19641	two-component system, NtrC family,
BBLLADNB_00923	K03667	ATP-dependent HslUV protease ATP-binding
BBLLADNB_00924	K01419	ATP-dependent HslUV protease, peptidase
BBLLADNB_00928	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
BBLLADNB_00929	K06969	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
BBLLADNB_00931	K07152	protein SCO1  
BBLLADNB_00934	K07220	uncharacterized protein  
BBLLADNB_00936	K07054	uncharacterized protein  
BBLLADNB_00938	K03711	Fur family transcriptional regulator,
BBLLADNB_00939	K06186	outer membrane protein assembly
BBLLADNB_00940	K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8] 
BBLLADNB_00942	K07487	transposase   
BBLLADNB_00944	K01956	carbamoyl-phosphate synthase small subunit
BBLLADNB_00945	K01955	carbamoyl-phosphate synthase large subunit
BBLLADNB_00946	K03624	transcription elongation factor GreA
BBLLADNB_00948	K07574	RNA-binding protein  
BBLLADNB_00949	K02427	23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]
BBLLADNB_00950	K03798	cell division protease FtsH
BBLLADNB_00951	K00796	dihydropteroate synthase [EC:2.5.1.15] 
BBLLADNB_00953	K00612	carbamoyltransferase [EC:2.1.3.-]  
BBLLADNB_00954	K01995	branched-chain amino acid transport
BBLLADNB_00954	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_00955	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_00956	K01999	branched-chain amino acid transport
BBLLADNB_00957	K01997	branched-chain amino acid transport
BBLLADNB_00958	K01998	branched-chain amino acid transport
BBLLADNB_00960	K21430	aldose sugar dehydrogenase [EC:1.1.5.-]
BBLLADNB_00961	K06940	uncharacterized protein  
BBLLADNB_00962	K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77] 
BBLLADNB_00963	K03821	polyhydroxyalkanoate synthase subunit PhaC
BBLLADNB_00964	K22881	polyhydroxyalkanoate synthase subunit PhaE
BBLLADNB_00967	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
BBLLADNB_00968	K08683	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA
BBLLADNB_00969	K00375	GntR family transcriptional regulator
BBLLADNB_00975	K03821	polyhydroxyalkanoate synthase subunit PhaC
BBLLADNB_00979	K00684	leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6] 
BBLLADNB_00980	K21420	leucyl-tRNA---protein transferase [EC:2.3.2.29] 
BBLLADNB_00993	K06076	long-chain fatty acid transport
BBLLADNB_00994	K03808	paraquat-inducible protein A 
BBLLADNB_00995	K03808	paraquat-inducible protein A 
BBLLADNB_00996	K06192	paraquat-inducible protein B 
BBLLADNB_00997	K09857	uncharacterized protein  
BBLLADNB_00998	K05802	potassium-dependent mechanosensitive channel 
BBLLADNB_01002	K07588	LAO/AO transport system kinase
BBLLADNB_01003	K01847	methylmalonyl-CoA mutase [EC:5.4.99.2] 
BBLLADNB_01003	K01849	methylmalonyl-CoA mutase, C-terminal domain
BBLLADNB_01006	K07090	uncharacterized protein  
BBLLADNB_01007	K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133] 
BBLLADNB_01008	K01710	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46] 
BBLLADNB_01009	K16011	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate
BBLLADNB_01009	K00971	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13] 
BBLLADNB_01010	K02841	heptosyltransferase I [EC:2.4.-.-] 
BBLLADNB_01011	K02527	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13
BBLLADNB_01012	K12340	outer membrane protein 
BBLLADNB_01014	K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77] 
BBLLADNB_01015	K02968	small subunit ribosomal protein
BBLLADNB_01018	K01609	indole-3-glycerol phosphate synthase [EC:4.1.1.48]
BBLLADNB_01020	K00766	anthranilate phosphoribosyltransferase [EC:2.4.2.18] 
BBLLADNB_01021	K01658	anthranilate synthase component II
BBLLADNB_01021	K01664	para-aminobenzoate synthetase component II
BBLLADNB_01023	K01338	ATP-dependent Lon protease [EC:3.4.21.53]
BBLLADNB_01025	K01657	anthranilate synthase component I
BBLLADNB_01026	K01091	phosphoglycolate phosphatase [EC:3.1.3.18] 
BBLLADNB_01028	K07165	transmembrane sensor  
BBLLADNB_01032	K01104	protein-tyrosine phosphatase [EC:3.1.3.48] 
BBLLADNB_01033	K03977	GTPase   
BBLLADNB_01034	K17713	outer membrane protein assembly
BBLLADNB_01036	K01892	histidyl-tRNA synthetase [EC:6.1.1.21] 
BBLLADNB_01037	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
BBLLADNB_01038	K15539	cytoskeleton protein RodZ 
BBLLADNB_01039	K02656	type IV pilus assembly
BBLLADNB_01040	K06941	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
BBLLADNB_01041	K00940	nucleoside-diphosphate kinase [EC:2.7.4.6] 
BBLLADNB_01042	K11688	C4-dicarboxylate-binding protein DctP 
BBLLADNB_01044	K11690	C4-dicarboxylate transporter, DctM subunit
BBLLADNB_01045	K11689	C4-dicarboxylate transporter, DctQ subunit
BBLLADNB_01046	K11688	C4-dicarboxylate-binding protein DctP 
BBLLADNB_01047	K11711	two-component system, LuxR family,
BBLLADNB_01048	K11712	two-component system, LuxR family,
BBLLADNB_01049	K04075	tRNA(Ile)-lysidine synthase [EC:6.3.4.19] 
BBLLADNB_01074	K07239	heavy-metal exporter, HME family
BBLLADNB_01075	K03186	flavin prenyltransferase [EC:2.5.1.129] 
BBLLADNB_01077	K16165	fumarylpyruvate hydrolase [EC:3.7.1.20] 
BBLLADNB_01082	K03118	sec-independent protein translocase protein
BBLLADNB_01083	K03117	sec-independent protein translocase protein
BBLLADNB_01084	K03116	sec-independent protein translocase protein
BBLLADNB_01085	K02503	histidine triad (HIT) family
BBLLADNB_01086	K01523	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31] 
BBLLADNB_01087	K01496	phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19] 
BBLLADNB_01088	K02500	imidazole glycerol-phosphate synthase subunit
BBLLADNB_01089	K01814	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
BBLLADNB_01090	K02501	imidazole glycerol-phosphate synthase subunit
BBLLADNB_01091	K01693	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19] 
BBLLADNB_01092	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9] 
BBLLADNB_01093	K00013	histidinol dehydrogenase [EC:1.1.1.23] 
BBLLADNB_01094	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17] 
BBLLADNB_01095	K03699	putative hemolysin  
BBLLADNB_01096	K01584	arginine decarboxylase [EC:4.1.1.19] 
BBLLADNB_01097	K01494	dCTP deaminase [EC:3.5.4.13] 
BBLLADNB_01098	K03593	ATP-binding protein involved in
BBLLADNB_01099	K07474	phage terminase small subunit
BBLLADNB_01106	K01174	micrococcal nuclease [EC:3.1.31.1] 
BBLLADNB_01108	K01875	seryl-tRNA synthetase [EC:6.1.1.11] 
BBLLADNB_01109	K07478	putative ATPase  
BBLLADNB_01111	K00635	diacylglycerol O-acyltransferase / wax
BBLLADNB_01113	K03566	LysR family transcriptional regulator,
BBLLADNB_01117	K07182	CBS domain-containing protein 
BBLLADNB_01118	K02342	DNA polymerase III subunit
BBLLADNB_01118	K09951	CRISPR-associated protein Cas2 
BBLLADNB_01124	K07018	uncharacterized protein  
BBLLADNB_01125	K03926	periplasmic divalent cation tolerance
BBLLADNB_01126	K04084	thioredoxin:protein disulfide reductase [EC:1.8.4.16]
BBLLADNB_01127	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104] 
BBLLADNB_01130	K14379	tartrate-resistant acid phosphatase type
BBLLADNB_01133	K03975	membrane-associated protein  
BBLLADNB_01133	K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]  
BBLLADNB_01139	K00219	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
BBLLADNB_01142	K11065	thiol peroxidase, atypical 2-Cys
BBLLADNB_01150	K03568	TldD protein  
BBLLADNB_01151	K11206	deaminated glutathione amidase [EC:3.5.1.128]
BBLLADNB_01153	K00982	[glutamine synthetase] adenylyltransferase /
BBLLADNB_01154	K03113	translation initiation factor 1
BBLLADNB_01156	K16137	TetR/AcrR family transcriptional regulator,
BBLLADNB_01157	K00927	phosphoglycerate kinase [EC:2.7.2.3] 
BBLLADNB_01158	K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]
BBLLADNB_01159	K07216	hemerythrin   
BBLLADNB_01161	K02379	FdhD protein  
BBLLADNB_01162	K00123	formate dehydrogenase major subunit
BBLLADNB_01163	K22515	formate dehydrogenase beta subunit
BBLLADNB_01173	K04757	serine/threonine-protein kinase RsbW [EC:2.7.11.1]
BBLLADNB_01175	K01214	isoamylase [EC:3.2.1.68]  
BBLLADNB_01176	K04749	anti-sigma B factor antagonist
BBLLADNB_01178	K19055	Ala-tRNA(Pro) deacylase [EC:3.1.1.-] 
BBLLADNB_01179	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
BBLLADNB_01182	K03074	preprotein translocase subunit SecF
BBLLADNB_01183	K03072	preprotein translocase subunit SecD
BBLLADNB_01184	K03210	preprotein translocase subunit YajC
BBLLADNB_01185	K00773	queuine tRNA-ribosyltransferase [EC:2.4.2.29] 
BBLLADNB_01186	K01006	pyruvate, orthophosphate dikinase [EC:2.7.9.1]
BBLLADNB_01188	K00170	pyruvate ferredoxin oxidoreductase beta
BBLLADNB_01189	K00169	pyruvate ferredoxin oxidoreductase alpha
BBLLADNB_01190	K00189	2-oxoisovalerate ferredoxin oxidoreductase, gamma
BBLLADNB_01190	K00172	pyruvate ferredoxin oxidoreductase gamma
BBLLADNB_01191	K14449	2-methylfumaryl-CoA hydratase [EC:4.2.1.148] 
BBLLADNB_01192	K08691	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]
BBLLADNB_01192	K01644	citrate lyase subunit beta
BBLLADNB_01193	K14470	2-methylfumaryl-CoA isomerase [EC:5.4.1.3] 
BBLLADNB_01194	K09709	3-methylfumaryl-CoA hydratase [EC:4.2.1.153] 
BBLLADNB_01196	K14448	(2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12] 
BBLLADNB_01197	K14449	2-methylfumaryl-CoA hydratase [EC:4.2.1.148] 
BBLLADNB_01199	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde
BBLLADNB_01200	K00823	4-aminobutyrate aminotransferase [EC:2.6.1.19] 
BBLLADNB_01204	K01584	arginine decarboxylase [EC:4.1.1.19] 
BBLLADNB_01205	K15866	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18] 
BBLLADNB_01205	K01692	enoyl-CoA hydratase [EC:4.2.1.17] 
BBLLADNB_01208	K07080	uncharacterized protein  
BBLLADNB_01214	K14161	protein ImuB  
BBLLADNB_01216	K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] 
BBLLADNB_01217	K01835	phosphoglucomutase [EC:5.4.2.2]  
BBLLADNB_01218	K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] 
BBLLADNB_01219	K00703	starch synthase [EC:2.4.1.21] 
BBLLADNB_01221	K01008	selenide, water dikinase [EC:2.7.9.3]
BBLLADNB_01223	K17686	P-type Cu+ transporter [EC:7.2.2.8]
BBLLADNB_01223	K01533	P-type Cu2+ transporter [EC:7.2.2.9]
BBLLADNB_01224	K09792	uncharacterized protein  
BBLLADNB_01225	K02495	oxygen-independent coproporphyrinogen III oxidase
BBLLADNB_01226	K01420	CRP/FNR family transcriptional regulator,
BBLLADNB_01232	K06985	aspartyl protease family protein
BBLLADNB_01234	K17879	peroxisomal coenzyme A diphosphatase
BBLLADNB_01236	K02409	flagellar M-ring protein FliF
BBLLADNB_01237	K02410	flagellar motor switch protein
BBLLADNB_01238	K02411	flagellar assembly protein FliH
BBLLADNB_01239	K02412	flagellum-specific ATP synthase [EC:7.4.2.8]
BBLLADNB_01240	K02413	flagellar FliJ protein 
BBLLADNB_01241	K02414	flagellar hook-length control protein
BBLLADNB_01242	K02415	flagellar FliL protein 
BBLLADNB_01243	K02416	flagellar motor switch protein
BBLLADNB_01244	K02417	flagellar motor switch protein
BBLLADNB_01245	K02418	flagellar protein FliO/FliZ 
BBLLADNB_01246	K02419	flagellar biosynthetic protein FliP
BBLLADNB_01247	K02420	flagellar biosynthetic protein FliQ
BBLLADNB_01248	K02421	flagellar biosynthetic protein FliR
BBLLADNB_01250	K02397	flagellar hook-associated protein 3
BBLLADNB_01251	K02396	flagellar hook-associated protein 1
BBLLADNB_01252	K02395	flagellar protein FlgJ 
BBLLADNB_01253	K02394	flagellar P-ring protein precursor
BBLLADNB_01254	K02393	flagellar L-ring protein precursor
BBLLADNB_01255	K02392	flagellar basal-body rod protein
BBLLADNB_01256	K02391	flagellar basal-body rod protein
BBLLADNB_01257	K02390	flagellar hook protein FlgE
BBLLADNB_01258	K02389	flagellar basal-body rod modification
BBLLADNB_01259	K02388	flagellar basal-body rod protein
BBLLADNB_01260	K02387	flagellar basal-body rod protein
BBLLADNB_01261	K02386	flagella basal body P-ring
BBLLADNB_01262	K02398	negative regulator of flagellin
BBLLADNB_01263	K02399	flagella synthesis protein FlgN
BBLLADNB_01266	K03073	preprotein translocase subunit SecE
BBLLADNB_01267	K02601	transcription termination/antitermination protein NusG
BBLLADNB_01268	K02867	large subunit ribosomal protein
BBLLADNB_01269	K02863	large subunit ribosomal protein
BBLLADNB_01270	K02864	large subunit ribosomal protein
BBLLADNB_01271	K02935	large subunit ribosomal protein
BBLLADNB_01272	K03043	DNA-directed RNA polymerase subunit
BBLLADNB_01273	K03046	DNA-directed RNA polymerase subunit
BBLLADNB_01274	K02950	small subunit ribosomal protein
BBLLADNB_01275	K02992	small subunit ribosomal protein
BBLLADNB_01276	K02355	elongation factor G 
BBLLADNB_01277	K02358	elongation factor Tu 
BBLLADNB_01278	K02946	small subunit ribosomal protein
BBLLADNB_01279	K02906	large subunit ribosomal protein
BBLLADNB_01280	K02926	large subunit ribosomal protein
BBLLADNB_01281	K02892	large subunit ribosomal protein
BBLLADNB_01282	K02886	large subunit ribosomal protein
BBLLADNB_01283	K02965	small subunit ribosomal protein
BBLLADNB_01284	K02890	large subunit ribosomal protein
BBLLADNB_01285	K02982	small subunit ribosomal protein
BBLLADNB_01286	K02878	large subunit ribosomal protein
BBLLADNB_01287	K02904	large subunit ribosomal protein
BBLLADNB_01288	K02961	small subunit ribosomal protein
BBLLADNB_01289	K02874	large subunit ribosomal protein
BBLLADNB_01290	K02895	large subunit ribosomal protein
BBLLADNB_01291	K02931	large subunit ribosomal protein
BBLLADNB_01294	K07216	hemerythrin   
BBLLADNB_01295	K06158	ATP-binding cassette, subfamily F,
BBLLADNB_01296	K01433	formyltetrahydrofolate deformylase [EC:3.5.1.10] 
BBLLADNB_01297	K02203	phosphoserine / homoserine phosphotransferase
BBLLADNB_01300	K06158	ATP-binding cassette, subfamily F,
BBLLADNB_01303	K01759	lactoylglutathione lyase [EC:4.4.1.5] 
BBLLADNB_01304	K04062	osmotically inducible lipoprotein OsmB
BBLLADNB_01305	K07043	uncharacterized protein  
BBLLADNB_01306	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51] 
BBLLADNB_01307	K03273	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82
BBLLADNB_01308	K01879	glycyl-tRNA synthetase beta chain
BBLLADNB_01309	K01878	glycyl-tRNA synthetase alpha chain
BBLLADNB_01310	K03820	apolipoprotein N-acyltransferase [EC:2.3.1.269] 
BBLLADNB_01311	K06189	magnesium and cobalt transporter
BBLLADNB_01312	K07042	probable rRNA maturation factor
BBLLADNB_01313	K06217	phosphate starvation-inducible protein PhoH
BBLLADNB_01317	K09791	uncharacterized protein  
BBLLADNB_01318	K00979	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)
BBLLADNB_01319	K00939	adenylate kinase [EC:2.7.4.3] 
BBLLADNB_01320	K15987	K(+)-stimulated pyrophosphate-energized sodium pump
BBLLADNB_01322	K03980	putative peptidoglycan lipid II
BBLLADNB_01330	K02078	acyl carrier protein 
BBLLADNB_01331	K21345	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [EC:2.7.7.70]
BBLLADNB_01337	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]
BBLLADNB_01338	K05541	tRNA-dihydrouridine synthase C [EC:1.-.-.-]
BBLLADNB_01340	K01682	aconitate hydratase 2 /
BBLLADNB_01341	K23518	O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106] 
BBLLADNB_01343	K03654	ATP-dependent DNA helicase RecQ
BBLLADNB_01344	K07075	uncharacterized protein  
BBLLADNB_01345	K07075	uncharacterized protein  
BBLLADNB_01348	K09861	uncharacterized protein  
BBLLADNB_01353	K00266	glutamate synthase (NADPH) small
BBLLADNB_01354	K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase /
BBLLADNB_01355	K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
BBLLADNB_01356	K02342	DNA polymerase III subunit
BBLLADNB_01356	K09951	CRISPR-associated protein Cas2 
BBLLADNB_01365	K05801	DnaJ like chaperone protein
BBLLADNB_01370	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5] 
BBLLADNB_01371	K11753	riboflavin kinase / FMN
BBLLADNB_01372	K01533	P-type Cu2+ transporter [EC:7.2.2.9]
BBLLADNB_01374	K00404	cytochrome c oxidase cbb3-type
BBLLADNB_01375	K00405	cytochrome c oxidase cbb3-type
BBLLADNB_01376	K00407	cytochrome c oxidase cbb3-type
BBLLADNB_01377	K00406	cytochrome c oxidase cbb3-type
BBLLADNB_01380	K09926	uncharacterized protein  
BBLLADNB_01382	K18453	ADP-ribose/FAD diphosphatase [EC:3.6.1.13 3.6.1.18]
BBLLADNB_01383	K02556	chemotaxis protein MotA 
BBLLADNB_01384	K02557	chemotaxis protein MotB 
BBLLADNB_01386	K00799	glutathione S-transferase [EC:2.5.1.18] 
BBLLADNB_01387	K01756	adenylosuccinate lyase [EC:4.3.2.2] 
BBLLADNB_01391	K16074	zinc transporter  
BBLLADNB_01393	K01885	glutamyl-tRNA synthetase [EC:6.1.1.17] 
BBLLADNB_01402	K02956	small subunit ribosomal protein
BBLLADNB_01404	K03752	molybdenum cofactor guanylyltransferase [EC:2.7.7.77]
BBLLADNB_01406	K03607	ProP effector  
BBLLADNB_01409	K07001	NTE family protein 
BBLLADNB_01412	K00635	diacylglycerol O-acyltransferase / wax
BBLLADNB_01415	K06949	ribosome biogenesis GTPase /
BBLLADNB_01416	K01724	4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96] 
BBLLADNB_01417	K06013	STE24 endopeptidase [EC:3.4.24.84] 
BBLLADNB_01418	K13288	oligoribonuclease [EC:3.1.-.-]  
BBLLADNB_01420	K02909	large subunit ribosomal protein
BBLLADNB_01421	K03628	transcription termination factor Rho
BBLLADNB_01422	K03671	thioredoxin 1  
BBLLADNB_01423	K05524	ferredoxin   
BBLLADNB_01424	K00341	NADH-quinone oxidoreductase subunit L
BBLLADNB_01425	K00342	NADH-quinone oxidoreductase subunit M
BBLLADNB_01426	K00343	NADH-quinone oxidoreductase subunit N
BBLLADNB_01427	K01515	ADP-ribose pyrophosphatase [EC:3.6.1.13] 
BBLLADNB_01428	K03717	LysR family transcriptional regulator,
BBLLADNB_01429	K01673	carbonic anhydrase [EC:4.2.1.1] 
BBLLADNB_01431	K07814	putative two-component system response
BBLLADNB_01432	K09915	uncharacterized protein  
BBLLADNB_01433	K02837	peptide chain release factor
BBLLADNB_01437	K01776	glutamate racemase [EC:5.1.1.3] 
BBLLADNB_01438	K01676	fumarate hydratase, class I
BBLLADNB_01441	K07484	transposase   
BBLLADNB_01455	K12071	conjugal transfer pilus assembly
BBLLADNB_01458	K16922	putative peptide zinc metalloprotease
BBLLADNB_01461	K01720	2-methylcitrate dehydratase [EC:4.2.1.79] 
BBLLADNB_01462	K01659	2-methylcitrate synthase [EC:2.3.3.5] 
BBLLADNB_01463	K03642	rare lipoprotein A 
BBLLADNB_01465	K03644	lipoyl synthase [EC:2.8.1.8] 
BBLLADNB_01466	K03801	lipoyl(octanoyl) transferase [EC:2.3.1.181] 
