#START	STOP	FRAME	CONTIG	SCORE
198044	197955	-	Ga0248264_11:4855508-5153816	-0.08006645981438455959782824717
198299	198427	+	Ga0248264_11:4855508-5153816	-0.1428258895038912962359762885
198500	198760	+	Ga0248264_11:4855508-5153816	-1.071352641816834861096978291
199138	199049	-	Ga0248264_11:4855508-5153816	-1.081030980305621840437075677
199362	199514	+	Ga0248264_11:4855508-5153816	-4.224232352657833325351044275
199616	199771	+	Ga0248264_11:4855508-5153816	-0.05443319227922957995264840451
199970	200068	+	Ga0248264_11:4855508-5153816	-1.417793243980186156659944229
200227	200442	+	Ga0248264_11:4855508-5153816	-5.539261060885759456107774421
200890	200726	-	Ga0248264_11:4855508-5153816	-1.326009182968560014943913940
201166	201282	+	Ga0248264_11:4855508-5153816	-2.747363471933941609908779921
201648	201547	-	Ga0248264_11:4855508-5153816	-0.1577309287373429529882544893
201927	202025	+	Ga0248264_11:4855508-5153816	-1.558475091060169189269715754
202620	202288	-	Ga0248264_11:4855508-5153816	-0.1493553143494445289844549028
202861	202968	+	Ga0248264_11:4855508-5153816	-0.07416122996163596832423296066
203199	203384	+	Ga0248264_11:4855508-5153816	-1.575961068431032908683088371
203630	203538	-	Ga0248264_11:4855508-5153816	-2.021699947903911033074036992
203898	204017	+	Ga0248264_11:4855508-5153816	-0.2022302297658855430442214664
204250	204351	+	Ga0248264_11:4855508-5153816	-0.07441179359944008557469778054
204785	204648	-	Ga0248264_11:4855508-5153816	-0.09619837602904994816796094657
205351	205079	-	Ga0248264_11:4855508-5153816	-0.07658541612542144597418250765
205562	205657	+	Ga0248264_11:4855508-5153816	-0.07410751362871924241892820182
205876	205983	+	Ga0248264_11:4855508-5153816	-1.560825534669969549604609857
206144	206266	+	Ga0248264_11:4855508-5153816	-1.631110577496083133519308626
206825	206442	-	Ga0248264_11:4855508-5153816	-1.712244732008587494624584291
207377	207099	-	Ga0248264_11:4855508-5153816	-0.1560623942408095533845538378
207637	207903	+	Ga0248264_11:4855508-5153816	-0.6556958236865187335366858397
209530	207974	-	Ga0248264_11:4855508-5153816	-1125540.661020288526337912763
209911	209822	-	Ga0248264_11:4855508-5153816	-0.1424134398185379920253975373
210140	210235	+	Ga0248264_11:4855508-5153816	-0.07765737091664383015460340771
210776	210456	-	Ga0248264_11:4855508-5153816	-0.2044337155218740507779507519
211071	211193	+	Ga0248264_11:4855508-5153816	-1.547019969675769580975627699
211457	211582	+	Ga0248264_11:4855508-5153816	-0.09003900226146873763117666016
212003	211866	-	Ga0248264_11:4855508-5153816	-0.1581566543532938310457991847
212393	212292	-	Ga0248264_11:4855508-5153816	-0.1312266455075616003992798876
212632	212856	+	Ga0248264_11:4855508-5153816	-4.098154932659853702703839777
213136	213231	+	Ga0248264_11:4855508-5153816	-0.1388365522075897040958895152
213757	213488	-	Ga0248264_11:4855508-5153816	-0.2933534751938358709933790109
214173	214009	-	Ga0248264_11:4855508-5153816	-0.08259417664866902070821918320
214551	214459	-	Ga0248264_11:4855508-5153816	-1.478712463221539224306443892
214740	214838	+	Ga0248264_11:4855508-5153816	-1.202291056110408503287845905
215160	215065	-	Ga0248264_11:4855508-5153816	-1.615615738540396779661244438
215550	215434	-	Ga0248264_11:4855508-5153816	-0.07426272704439825779088182559
215837	215983	+	Ga0248264_11:4855508-5153816	-1.656742665262770778053906163
216344	216195	-	Ga0248264_11:4855508-5153816	-1.864184663054840202876923495
216769	216617	-	Ga0248264_11:4855508-5153816	-0.2350621098548679891494243326
217051	217146	+	Ga0248264_11:4855508-5153816	-0.05928860549276189567744250854
218204	217437	-	Ga0248264_11:4855508-5153816	-0.4241770197546710726217349913
218487	218645	+	Ga0248264_11:4855508-5153816	-0.2400977856347216599196371004
218805	218939	+	Ga0248264_11:4855508-5153816	-1.573705697979539697308984191
219180	219293	+	Ga0248264_11:4855508-5153816	-0.1528539797984151788957038989
219572	219781	+	Ga0248264_11:4855508-5153816	-2.858414402054936408270794528
220070	220357	+	Ga0248264_11:4855508-5153816	-0.2893379515391462695202880022
220524	220613	+	Ga0248264_11:4855508-5153816	-1.628089989871350882055591768
220899	221273	+	Ga0248264_11:4855508-5153816	-0.7504709783262611572315846755
221539	221718	+	Ga0248264_11:4855508-5153816	-0.05653116290528094878842986506
221715	221819	+	Ga0248264_11:4855508-5153816	-1.217957181918115253154848676
222171	222043	-	Ga0248264_11:4855508-5153816	-1.541493082264734272708615522
222568	222398	-	Ga0248264_11:4855508-5153816	-0.08596504986632901221886590904
222807	222902	+	Ga0248264_11:4855508-5153816	-0.06374888898286979070125330802
223159	223389	+	Ga0248264_11:4855508-5153816	-1.261534069585512914053823995
223652	223750	+	Ga0248264_11:4855508-5153816	-0.1526642086333156661678228181
224168	223986	-	Ga0248264_11:4855508-5153816	-0.2080779619827669904796077839
224817	224458	-	Ga0248264_11:4855508-5153816	-2.083405898086908519825967236
225113	225208	+	Ga0248264_11:4855508-5153816	-1.346120793860996335048830014
225477	225701	+	Ga0248264_11:4855508-5153816	-0.1710215653519022935556783541
226178	225900	-	Ga0248264_11:4855508-5153816	-0.1627352157173452942339151919
226475	231325	+	Ga0248264_11:4855508-5153816	-95627265756655904343691.13963
231502	232008	+	Ga0248264_11:4855508-5153816	-0.3226427771666862462624845319
232625	232293	-	Ga0248264_11:4855508-5153816	-0.1820568348375514113295253972
232725	232817	+	Ga0248264_11:4855508-5153816	-1.474379154390345328826612806
232987	233139	+	Ga0248264_11:4855508-5153816	-0.1621694360227284389493564976
233534	233430	-	Ga0248264_11:4855508-5153816	-0.1207678482953221907043662067
233990	233685	-	Ga0248264_11:4855508-5153816	-1.043570389143181052325826986
235740	234274	-	Ga0248264_11:4855508-5153816	-3630.471788272674841203017694
236211	236032	-	Ga0248264_11:4855508-5153816	-0.05981677738773090132784916704
236641	236450	-	Ga0248264_11:4855508-5153816	-2.219990275609485932167629600
236937	237134	+	Ga0248264_11:4855508-5153816	-0.1810358470352079177299903163
237376	237537	+	Ga0248264_11:4855508-5153816	-0.1637425120307648216015990229
237714	237583	-	Ga0248264_11:4855508-5153816	-0.06987244480210060982446731121
238343	238005	-	Ga0248264_11:4855508-5153816	-0.1408929477221284578636872942
238979	238611	-	Ga0248264_11:4855508-5153816	-0.6836616952017584950350628707
239624	239241	-	Ga0248264_11:4855508-5153816	-0.1920099629825140349212205072
239913	240074	+	Ga0248264_11:4855508-5153816	-0.2074724570984370600888022212
240236	240442	+	Ga0248264_11:4855508-5153816	-1.220345681522268934395874557
241311	240736	-	Ga0248264_11:4855508-5153816	-5.560896349687064146658931640
241600	241830	+	Ga0248264_11:4855508-5153816	-0.06272868281903043526603957683
241904	242029	+	Ga0248264_11:4855508-5153816	-0.3869138468445887157207873354
242216	242443	+	Ga0248264_11:4855508-5153816	-0.4890692109749288006799738085
242610	242708	+	Ga0248264_11:4855508-5153816	-3.488128546362756144513658449
243557	242826	-	Ga0248264_11:4855508-5153816	-2.320252561406400718154056665
243530	243643	+	Ga0248264_11:4855508-5153816	-0.1568397896285905475961590965
244016	243876	-	Ga0248264_11:4855508-5153816	-0.07796165455902301636154075677
244280	244381	+	Ga0248264_11:4855508-5153816	-1.193135252854312921237007326
244550	244642	+	Ga0248264_11:4855508-5153816	-0.06344946897768951797134440540
244955	244863	-	Ga0248264_11:4855508-5153816	-0.1030564113655658072083360466
245442	245209	-	Ga0248264_11:4855508-5153816	-4.118468268800736388360070147
245717	245815	+	Ga0248264_11:4855508-5153816	-0.07408125309594301041654574795
246097	246186	+	Ga0248264_11:4855508-5153816	-0.09113809050494913345560279604
246390	246584	+	Ga0248264_11:4855508-5153816	-1.285349338414083468033377771
247675	246872	-	Ga0248264_11:4855508-5153816	-51.43893494564916380964512914
247972	248118	+	Ga0248264_11:4855508-5153816	-1.337005330281979794435732035
248283	248411	+	Ga0248264_11:4855508-5153816	-1.269256581467532860162953279
248592	248681	+	Ga0248264_11:4855508-5153816	-1.505894444409375337686334564
248856	249029	+	Ga0248264_11:4855508-5153816	-2.010408261081889066254724677
249308	249451	+	Ga0248264_11:4855508-5153816	-2.873704820427126972944631616
249980	249723	-	Ga0248264_11:4855508-5153816	-0.1219417801294881321246608919
250274	250438	+	Ga0248264_11:4855508-5153816	-0.1337103413839783139150575291
250813	250709	-	Ga0248264_11:4855508-5153816	-0.06481294661889580525199366160
251170	251009	-	Ga0248264_11:4855508-5153816	-2.442319785726640085821742201
251424	251666	+	Ga0248264_11:4855508-5153816	-1.744876852906700498564467866
252257	251799	-	Ga0248264_11:4855508-5153816	-4.650488690460053110323638001
252627	252538	-	Ga0248264_11:4855508-5153816	-0.08925582900490536112923860701
252895	252794	-	Ga0248264_11:4855508-5153816	-1.165513883820166265565954273
253169	253363	+	Ga0248264_11:4855508-5153816	-0.1352327401357890199266712719
253548	253724	+	Ga0248264_11:4855508-5153816	-1.512535972821764954130552726
254016	254183	+	Ga0248264_11:4855508-5153816	-0.05319379046574321853293096992
254409	254272	-	Ga0248264_11:4855508-5153816	-0.08502040395453748581317227857
254702	254851	+	Ga0248264_11:4855508-5153816	-1.075541321266471856711877321
255082	254930	-	Ga0248264_11:4855508-5153816	-0.1380978880159788974910964725
255515	255258	-	Ga0248264_11:4855508-5153816	-2.382692642121402636950307408
255795	256124	+	Ga0248264_11:4855508-5153816	-0.1461451508438014217464996802
256515	256345	-	Ga0248264_11:4855508-5153816	-0.08138977884791941266245897675
256805	256933	+	Ga0248264_11:4855508-5153816	-3.291520879715219165502748032
257285	257190	-	Ga0248264_11:4855508-5153816	-1.388131670958631297719130424
257544	257639	+	Ga0248264_11:4855508-5153816	-0.07202954872397170318976434411
257829	258008	+	Ga0248264_11:4855508-5153816	-0.06515947436656220437050925023
258297	258491	+	Ga0248264_11:4855508-5153816	-0.1729773353111766905230699200
259013	258573	-	Ga0248264_11:4855508-5153816	-0.09998338799802977261053850023
260211	259210	-	Ga0248264_11:4855508-5153816	-257.9282283275151432418717547
260506	260598	+	Ga0248264_11:4855508-5153816	-1.054784158864914501091608679
260813	260908	+	Ga0248264_11:4855508-5153816	-1.210907646325302312982411016
261256	261164	-	Ga0248264_11:4855508-5153816	-0.1745570573472069179762820857
261617	261519	-	Ga0248264_11:4855508-5153816	-0.2316782524955015025710479862
261806	261916	+	Ga0248264_11:4855508-5153816	-0.2533224880443738206486447311
262086	262217	+	Ga0248264_11:4855508-5153816	-0.1078012181811775003743025149
266488	262499	-	Ga0248264_11:4855508-5153816	-8228958020081202811.644384986
266648	266559	-	Ga0248264_11:4855508-5153816	-2.350631974963461398874128043
267844	266807	-	Ga0248264_11:4855508-5153816	-1086.455640238889432161882647
268194	268096	-	Ga0248264_11:4855508-5153816	-0.1450825761438723731443487925
268454	268618	+	Ga0248264_11:4855508-5153816	-1.436436552295711438843477483
268753	268848	+	Ga0248264_11:4855508-5153816	-0.06611527993015941623581667630
269077	269169	+	Ga0248264_11:4855508-5153816	-1.584336110754624272791933644
269446	269550	+	Ga0248264_11:4855508-5153816	-0.1329674346200140791744428378
269845	269940	+	Ga0248264_11:4855508-5153816	-0.1395949032939488061239129922
270130	270225	+	Ga0248264_11:4855508-5153816	-0.3585791025539425592051949560
270490	270579	+	Ga0248264_11:4855508-5153816	-0.2276199090542032015451292596
270699	270893	+	Ga0248264_11:4855508-5153816	-1.202332553282708041935475218
271321	271178	-	Ga0248264_11:4855508-5153816	-1.429259080702150913228938125
271598	271813	+	Ga0248264_11:4855508-5153816	-0.07187452611571599814132844693
272108	272251	+	Ga0248264_11:4855508-5153816	-1.477183509463604929153456413
272431	272643	+	Ga0248264_11:4855508-5153816	-0.1067103862312910909739228963
272896	273003	+	Ga0248264_11:4855508-5153816	-0.05870375430081891961027857915
273213	273329	+	Ga0248264_11:4855508-5153816	-1.138271157378174331560249135
273731	273558	-	Ga0248264_11:4855508-5153816	-0.1676610733659622649763190801
273669	273773	+	Ga0248264_11:4855508-5153816	-0.05742962411339974979218812425
274281	274039	-	Ga0248264_11:4855508-5153816	-0.1975215455069930715050054176
274551	274685	+	Ga0248264_11:4855508-5153816	-0.06035367081326837962497246187
275043	274954	-	Ga0248264_11:4855508-5153816	-0.06288969335260387399064835444
275421	275329	-	Ga0248264_11:4855508-5153816	-1.230592506873209725061234964
275718	275840	+	Ga0248264_11:4855508-5153816	-0.05047344144608538332582387523
276137	276048	-	Ga0248264_11:4855508-5153816	-0.1269733288674313778324842121
276513	276424	-	Ga0248264_11:4855508-5153816	-0.1882023981529551080793085755
276760	276864	+	Ga0248264_11:4855508-5153816	-0.05376684266957855271035261780
277287	277117	-	Ga0248264_11:4855508-5153816	-0.6369168945688120546988747448
277584	277697	+	Ga0248264_11:4855508-5153816	-0.1485473268133399785320954536
277960	277871	-	Ga0248264_11:4855508-5153816	-0.1108578613257206497955968850
278149	278238	+	Ga0248264_11:4855508-5153816	-0.2487602760808140763504096430
278606	278496	-	Ga0248264_11:4855508-5153816	-0.05349431953817924787181774807
278763	278861	+	Ga0248264_11:4855508-5153816	-0.06041081197317054828330727471
279113	279232	+	Ga0248264_11:4855508-5153816	-0.1431185234938878579500594303
279361	279525	+	Ga0248264_11:4855508-5153816	-0.2183617333605974825351032706
279804	279893	+	Ga0248264_11:4855508-5153816	-0.1056803727188773453374417856
280277	280188	-	Ga0248264_11:4855508-5153816	-0.05637614612111734197434388326
280511	280825	+	Ga0248264_11:4855508-5153816	-0.7464735480722114752329378971
281112	281020	-	Ga0248264_11:4855508-5153816	-1.152464755467951044899595703
281781	281368	-	Ga0248264_11:4855508-5153816	-0.3816731378167136117575866442
282056	282148	+	Ga0248264_11:4855508-5153816	-5.543879503320908792962782952
282402	282503	+	Ga0248264_11:4855508-5153816	-1.671806610532501386215230159
282893	282759	-	Ga0248264_11:4855508-5153816	-0.2346614559764522909253692997
283215	283111	-	Ga0248264_11:4855508-5153816	-0.1407062290795761253785771215
283462	283578	+	Ga0248264_11:4855508-5153816	-0.1710794457031190859896726211
283742	283849	+	Ga0248264_11:4855508-5153816	-0.05139903900372966894077630644
284166	284032	-	Ga0248264_11:4855508-5153816	-0.1198740268143789168938452824
284332	284439	+	Ga0248264_11:4855508-5153816	-1.961340381688078424070985638
284673	284545	-	Ga0248264_11:4855508-5153816	-0.1806826769651788630736963232
284936	285028	+	Ga0248264_11:4855508-5153816	-0.2120197595008398840393046498
285222	285314	+	Ga0248264_11:4855508-5153816	-0.2388961167331491830906003544
285578	285739	+	Ga0248264_11:4855508-5153816	-0.1533740765726900910547409860
286025	286123	+	Ga0248264_11:4855508-5153816	-0.1921880165927378881135664781
286357	286455	+	Ga0248264_11:4855508-5153816	-0.2115108458294355007265386093
286841	286752	-	Ga0248264_11:4855508-5153816	-0.1275174476481703273223222468
287190	287068	-	Ga0248264_11:4855508-5153816	-1.720763018170811673725514998
287483	287614	+	Ga0248264_11:4855508-5153816	-1.155721537233714087445664984
287906	288166	+	Ga0248264_11:4855508-5153816	-3.877125820673593132529716669
288425	288532	+	Ga0248264_11:4855508-5153816	-0.08563888570451265816570443021
289085	288822	-	Ga0248264_11:4855508-5153816	-1.589277688138263793982646174
289475	289377	-	Ga0248264_11:4855508-5153816	-0.08118085379460397972912291188
289879	289763	-	Ga0248264_11:4855508-5153816	-0.1818201489877608608676501694
290132	290230	+	Ga0248264_11:4855508-5153816	-1.942560710767616004121684162
290591	290484	-	Ga0248264_11:4855508-5153816	-0.05355559367249658305293070673
290537	290671	+	Ga0248264_11:4855508-5153816	-0.07652261574259800874065376570
290965	291069	+	Ga0248264_11:4855508-5153816	-0.06192839126821946095128243385
291336	291434	+	Ga0248264_11:4855508-5153816	-0.1274185904935183432927822560
291707	291802	+	Ga0248264_11:4855508-5153816	-0.08247383735654333235852539826
292417	292037	-	Ga0248264_11:4855508-5153816	-0.4865555760065921398479219927
292801	292700	-	Ga0248264_11:4855508-5153816	-0.1362324890840004607658542684
293038	293151	+	Ga0248264_11:4855508-5153816	-0.2453484667338433242491146442
293579	293421	-	Ga0248264_11:4855508-5153816	-0.1653891962447684493218910501
293840	293992	+	Ga0248264_11:4855508-5153816	-1.466888631243549902981927174
294206	294361	+	Ga0248264_11:4855508-5153816	-0.1981007474537047877996943190
294781	294653	-	Ga0248264_11:4855508-5153816	-0.1972840420149632575447657598
295064	295162	+	Ga0248264_11:4855508-5153816	-0.09118311817289063635954183122
295687	295355	-	Ga0248264_11:4855508-5153816	-0.4879715664950223653641968103
296324	295941	-	Ga0248264_11:4855508-5153816	-3.180571230364779186665697028
