NHBDKAOG_00003	K07334	toxin HigB-1  
NHBDKAOG_00837	K02419	flagellar biosynthetic protein FliP
NHBDKAOG_00838	K02418	flagellar protein FliO/FliZ 
NHBDKAOG_00839	K02417	flagellar motor switch protein
NHBDKAOG_00840	K02416	flagellar motor switch protein
NHBDKAOG_00841	K02415	flagellar FliL protein 
NHBDKAOG_00842	K02414	flagellar hook-length control protein
NHBDKAOG_00843	K02413	flagellar FliJ protein 
NHBDKAOG_00844	K02412	flagellum-specific ATP synthase [EC:7.4.2.8]
NHBDKAOG_00845	K02411	flagellar assembly protein FliH
NHBDKAOG_00846	K02410	flagellar motor switch protein
NHBDKAOG_00847	K02409	flagellar M-ring protein FliF
NHBDKAOG_00848	K10942	two-component system, sensor histidine
NHBDKAOG_00849	K10943	two-component system, response regulator
NHBDKAOG_00850	K02408	flagellar hook-basal body complex
NHBDKAOG_00851	K14540	ribosome biogenesis GTPase A
NHBDKAOG_00853	K03556	LuxR family transcriptional regulator,
NHBDKAOG_00854	K03496	chromosome partitioning protein 
NHBDKAOG_00856	K07220	uncharacterized protein  
NHBDKAOG_00857	K03306	inorganic phosphate transporter, PiT
NHBDKAOG_00858	K07220	uncharacterized protein  
NHBDKAOG_00859	K07220	uncharacterized protein  
NHBDKAOG_00865	K03075	preprotein translocase subunit SecG
NHBDKAOG_00867	K00330	NADH-quinone oxidoreductase subunit A
NHBDKAOG_00868	K00331	NADH-quinone oxidoreductase subunit B
NHBDKAOG_00869	K00332	NADH-quinone oxidoreductase subunit C
NHBDKAOG_00870	K00333	NADH-quinone oxidoreductase subunit D
NHBDKAOG_00871	K00334	NADH-quinone oxidoreductase subunit E
NHBDKAOG_00872	K00335	NADH-quinone oxidoreductase subunit F
NHBDKAOG_00873	K00336	NADH-quinone oxidoreductase subunit G
NHBDKAOG_00874	K00337	NADH-quinone oxidoreductase subunit H
NHBDKAOG_00875	K00338	NADH-quinone oxidoreductase subunit I
NHBDKAOG_00876	K00339	NADH-quinone oxidoreductase subunit J
NHBDKAOG_00877	K00340	NADH-quinone oxidoreductase subunit K
NHBDKAOG_00878	K00341	NADH-quinone oxidoreductase subunit L
NHBDKAOG_00879	K00342	NADH-quinone oxidoreductase subunit M
NHBDKAOG_00880	K00343	NADH-quinone oxidoreductase subunit N
NHBDKAOG_00881	K01515	ADP-ribose pyrophosphatase [EC:3.6.1.13] 
NHBDKAOG_00882	K09915	uncharacterized protein  
NHBDKAOG_00883	K02837	peptide chain release factor
NHBDKAOG_00884	K02970	small subunit ribosomal protein
NHBDKAOG_00885	K03431	phosphoglucosamine mutase [EC:5.4.2.10] 
NHBDKAOG_00886	K00796	dihydropteroate synthase [EC:2.5.1.15] 
NHBDKAOG_00887	K03798	cell division protease FtsH
NHBDKAOG_00888	K02427	23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]
NHBDKAOG_00889	K07574	RNA-binding protein  
NHBDKAOG_00891	K03624	transcription elongation factor GreA
NHBDKAOG_00892	K01955	carbamoyl-phosphate synthase large subunit
NHBDKAOG_00893	K01956	carbamoyl-phosphate synthase small subunit
NHBDKAOG_00896	K03981	thiol:disulfide interchange protein DsbC
NHBDKAOG_00899	K06023	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
NHBDKAOG_00900	K02806	nitrogen PTS system EIIA
NHBDKAOG_00901	K05808	putative sigma-54 modulation protein
NHBDKAOG_00902	K03092	RNA polymerase sigma-54 factor
NHBDKAOG_00903	K06861	lipopolysaccharide export system ATP-binding
NHBDKAOG_00903	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_00904	K03565	regulatory protein  
NHBDKAOG_00905	K03553	recombination protein RecA 
NHBDKAOG_00907	K03743	nicotinamide-nucleotide amidase [EC:3.5.1.42] 
NHBDKAOG_00908	K01095	phosphatidylglycerophosphatase A [EC:3.1.3.27] 
NHBDKAOG_00909	K00946	thiamine-monophosphate kinase [EC:2.7.4.16] 
NHBDKAOG_00910	K03625	transcription antitermination protein NusB
NHBDKAOG_00911	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78] 
NHBDKAOG_00912	K14652	3,4-dihydroxy 2-butanone 4-phosphate synthase
NHBDKAOG_00918	K06926	uncharacterized protein  
NHBDKAOG_00922	K07445	putative DNA methylase 
NHBDKAOG_00923	K07075	uncharacterized protein  
NHBDKAOG_00925	K06922	uncharacterized protein  
NHBDKAOG_00933	K02069	putative ABC transport system
NHBDKAOG_00935	K22468	polyphosphate kinase [EC:2.7.4.1] 
NHBDKAOG_00936	K18930	D-lactate dehydrogenase  
NHBDKAOG_00938	K01999	branched-chain amino acid transport
NHBDKAOG_00939	K15270	S-adenosylmethionine uptake transporter 
NHBDKAOG_00940	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104] 
NHBDKAOG_00944	K01185	lysozyme [EC:3.2.1.17]  
NHBDKAOG_00945	K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]
NHBDKAOG_00946	K00927	phosphoglycerate kinase [EC:2.7.2.3] 
NHBDKAOG_00948	K06896	maltose 6'-phosphate phosphatase [EC:3.1.3.90]
NHBDKAOG_00949	K00612	carbamoyltransferase [EC:2.1.3.-]  
NHBDKAOG_00950	K02517	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241
NHBDKAOG_00951	K22131	2-dehydrotetronate isomerase [EC:5.3.1.35] 
NHBDKAOG_00951	K01816	hydroxypyruvate isomerase [EC:5.3.1.22] 
NHBDKAOG_00952	K01491	methylenetetrahydrofolate dehydrogenase (NADP+) /
NHBDKAOG_00953	K01588	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
NHBDKAOG_00954	K01589	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
NHBDKAOG_00955	K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87] 
NHBDKAOG_00959	K07018	uncharacterized protein  
NHBDKAOG_00960	K02006	cobalt/nickel transport system ATP-binding
NHBDKAOG_00961	K02008	cobalt/nickel transport system permease
NHBDKAOG_00962	K02007	cobalt/nickel transport system permease
NHBDKAOG_00963	K03215	23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]
NHBDKAOG_00967	K07054	uncharacterized protein  
NHBDKAOG_00969	K06969	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
NHBDKAOG_00970	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
NHBDKAOG_00977	K06190	intracellular septation protein 
NHBDKAOG_00978	K09780	uncharacterized protein  
NHBDKAOG_00980	K03769	peptidyl-prolyl cis-trans isomerase C
NHBDKAOG_00982	K01990	ABC-2 type transport system
NHBDKAOG_00985	K23518	O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106] 
NHBDKAOG_00987	K05979	2-phosphosulfolactate phosphatase [EC:3.1.3.71] 
NHBDKAOG_00996	K06158	ATP-binding cassette, subfamily F,
NHBDKAOG_01002	K07491	putative transposase  
NHBDKAOG_01014	K02456	general secretion pathway protein
NHBDKAOG_01019	K05596	LysR family transcriptional regulator,
NHBDKAOG_01020	K06895	L-lysine exporter family protein
NHBDKAOG_01023	K03885	NADH dehydrogenase [EC:1.6.99.3] 
NHBDKAOG_01028	K00034	glucose 1-dehydrogenase [EC:1.1.1.47] 
NHBDKAOG_01028	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
NHBDKAOG_01029	K15977	putative oxidoreductase  
NHBDKAOG_01032	K09930	uncharacterized protein  
NHBDKAOG_01034	K02483	two-component system, OmpR family,
NHBDKAOG_01043	K06223	DNA adenine methylase [EC:2.1.1.72]
NHBDKAOG_01050	K01256	aminopeptidase N [EC:3.4.11.2] 
NHBDKAOG_01051	K10804	acyl-CoA thioesterase I [EC:3.1.2.-
NHBDKAOG_01052	K07320	ribosomal protein L3 glutamine
NHBDKAOG_01053	K01439	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18] 
NHBDKAOG_01054	K02670	twitching motility protein PilU
NHBDKAOG_01055	K00674	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117] 
NHBDKAOG_01056	K14267	N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17] 
NHBDKAOG_01057	K09457	7-cyano-7-deazaguanine reductase [EC:1.7.1.13] 
NHBDKAOG_01058	K03529	chromosome segregation protein 
NHBDKAOG_01059	K03528	cell division protein ZipA
NHBDKAOG_01060	K01972	DNA ligase (NAD+) [EC:6.5.1.2]
NHBDKAOG_01061	K00760	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8] 
NHBDKAOG_01062	K00772	5'-methylthioadenosine phosphorylase [EC:2.4.2.28] 
NHBDKAOG_01063	K01462	peptide deformylase [EC:3.5.1.88] 
NHBDKAOG_01064	K01104	protein-tyrosine phosphatase [EC:3.1.3.48] 
NHBDKAOG_01066	K00940	nucleoside-diphosphate kinase [EC:2.7.4.6] 
NHBDKAOG_01067	K06941	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
NHBDKAOG_01068	K02656	type IV pilus assembly
NHBDKAOG_01069	K15539	cytoskeleton protein RodZ 
NHBDKAOG_01070	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
NHBDKAOG_01071	K01892	histidyl-tRNA synthetase [EC:6.1.1.21] 
NHBDKAOG_01073	K17713	outer membrane protein assembly
NHBDKAOG_01074	K03977	GTPase   
NHBDKAOG_01075	K01104	protein-tyrosine phosphatase [EC:3.1.3.48] 
NHBDKAOG_01076	K13924	two-component system, chemotaxis family,
NHBDKAOG_01076	K00575	chemotaxis protein methyltransferase CheR
NHBDKAOG_01076	K03412	two-component system, chemotaxis family,
NHBDKAOG_01079	K22468	polyphosphate kinase [EC:2.7.4.1] 
NHBDKAOG_01081	K01578	malonyl-CoA decarboxylase [EC:4.1.1.9] 
NHBDKAOG_01082	K13292	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
NHBDKAOG_01083	K01687	dihydroxy-acid dehydratase [EC:4.2.1.9] 
NHBDKAOG_01085	K01999	branched-chain amino acid transport
NHBDKAOG_01086	K01997	branched-chain amino acid transport
NHBDKAOG_01087	K01998	branched-chain amino acid transport
NHBDKAOG_01088	K01995	branched-chain amino acid transport
NHBDKAOG_01088	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_01089	K01996	branched-chain amino acid transport
NHBDKAOG_01089	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_01091	K06020	energy-dependent translational throttle protein
NHBDKAOG_01092	K00528	ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
NHBDKAOG_01095	K09781	uncharacterized protein  
NHBDKAOG_01103	K02670	twitching motility protein PilU
NHBDKAOG_01104	K02669	twitching motility protein PilT
NHBDKAOG_01105	K06997	PLP dependent protein 
NHBDKAOG_01106	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2] 
NHBDKAOG_01107	K02221	YggT family protein 
NHBDKAOG_01108	K09131	uncharacterized protein  
NHBDKAOG_01109	K01465	dihydroorotase [EC:3.5.2.3]  
NHBDKAOG_01110	K00609	aspartate carbamoyltransferase catalytic subunit
NHBDKAOG_01111	K02825	pyrimidine operon attenuation protein
NHBDKAOG_01112	K07447	putative holliday junction resolvase
NHBDKAOG_01113	K07735	putative transcriptional regulator 
NHBDKAOG_01114	K03320	ammonium transporter, Amt family
NHBDKAOG_01118	K03791	putative chitinase  
NHBDKAOG_01119	K18189	translational activator of cytochrome
NHBDKAOG_01120	K06915	uncharacterized protein  
NHBDKAOG_01124	K03088	RNA polymerase sigma-70 factor,
NHBDKAOG_01126	K06959	protein Tex  
NHBDKAOG_01132	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01133	K07278	translocation and assembly module
NHBDKAOG_01134	K09800	translocation and assembly module
NHBDKAOG_01135	K08309	soluble lytic murein transglycosylase
NHBDKAOG_01140	K03073	preprotein translocase subunit SecE
NHBDKAOG_01141	K02601	transcription termination/antitermination protein NusG
NHBDKAOG_01142	K02867	large subunit ribosomal protein
NHBDKAOG_01143	K02863	large subunit ribosomal protein
NHBDKAOG_01144	K02864	large subunit ribosomal protein
NHBDKAOG_01145	K02935	large subunit ribosomal protein
NHBDKAOG_01146	K03043	DNA-directed RNA polymerase subunit
NHBDKAOG_01147	K03046	DNA-directed RNA polymerase subunit
NHBDKAOG_01148	K02950	small subunit ribosomal protein
NHBDKAOG_01149	K02992	small subunit ribosomal protein
NHBDKAOG_01150	K02355	elongation factor G 
NHBDKAOG_01152	K02358	elongation factor Tu 
NHBDKAOG_01153	K02946	small subunit ribosomal protein
NHBDKAOG_01154	K02906	large subunit ribosomal protein
NHBDKAOG_01155	K02926	large subunit ribosomal protein
NHBDKAOG_01156	K02892	large subunit ribosomal protein
NHBDKAOG_01157	K02886	large subunit ribosomal protein
NHBDKAOG_01157	K02965	small subunit ribosomal protein
NHBDKAOG_01158	K02890	large subunit ribosomal protein
NHBDKAOG_01159	K02982	small subunit ribosomal protein
NHBDKAOG_01160	K02878	large subunit ribosomal protein
NHBDKAOG_01161	K02904	large subunit ribosomal protein
NHBDKAOG_01162	K02961	small subunit ribosomal protein
NHBDKAOG_01163	K02874	large subunit ribosomal protein
NHBDKAOG_01164	K02895	large subunit ribosomal protein
NHBDKAOG_01165	K02931	large subunit ribosomal protein
NHBDKAOG_01166	K02954	small subunit ribosomal protein
NHBDKAOG_01167	K02994	small subunit ribosomal protein
NHBDKAOG_01168	K02933	large subunit ribosomal protein
NHBDKAOG_01169	K02881	large subunit ribosomal protein
NHBDKAOG_01170	K02988	small subunit ribosomal protein
NHBDKAOG_01171	K02907	large subunit ribosomal protein
NHBDKAOG_01172	K02876	large subunit ribosomal protein
NHBDKAOG_01173	K03076	preprotein translocase subunit SecY
NHBDKAOG_01174	K02518	translation initiation factor IF-1
NHBDKAOG_01175	K02952	small subunit ribosomal protein
NHBDKAOG_01176	K02948	small subunit ribosomal protein
NHBDKAOG_01177	K02986	small subunit ribosomal protein
NHBDKAOG_01178	K03040	DNA-directed RNA polymerase subunit
NHBDKAOG_01179	K02879	large subunit ribosomal protein
NHBDKAOG_01180	K06147	ATP-binding cassette, subfamily B,
NHBDKAOG_01182	K06445	acyl-CoA dehydrogenase [EC:1.3.99.-] 
NHBDKAOG_01183	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
NHBDKAOG_01184	K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA
NHBDKAOG_01186	K02614	acyl-CoA thioesterase [EC:3.1.2.-] 
NHBDKAOG_01187	K02616	phenylacetic acid degradation operon
NHBDKAOG_01188	K14393	cation/acetate symporter  
NHBDKAOG_01193	K15866	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18] 
NHBDKAOG_01194	K01912	phenylacetate-CoA ligase [EC:6.2.1.30] 
NHBDKAOG_01195	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
NHBDKAOG_01200	K20034	3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44] 
NHBDKAOG_01201	K03821	polyhydroxyalkanoate synthase subunit PhaC
NHBDKAOG_01202	K22250	poly(3-hydroxyoctanoate) depolymerase [EC:3.1.1.76] 
NHBDKAOG_01204	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
NHBDKAOG_01205	K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 
NHBDKAOG_01206	K06076	long-chain fatty acid transport
NHBDKAOG_01208	K00208	enoyl-[acyl-carrier protein] reductase I
NHBDKAOG_01209	K00575	chemotaxis protein methyltransferase CheR
NHBDKAOG_01210	K03411	chemotaxis protein CheD [EC:3.5.1.44]
NHBDKAOG_01210	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01212	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01212	K07216	hemerythrin   
NHBDKAOG_01213	K03408	purine-binding chemotaxis protein CheW
NHBDKAOG_01214	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01217	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01219	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01220	K02040	phosphate transport system substrate-binding
NHBDKAOG_01221	K03408	purine-binding chemotaxis protein CheW
NHBDKAOG_01222	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01224	K03407	two-component system, chemotaxis family,
NHBDKAOG_01230	K03607	ProP effector  
NHBDKAOG_01233	K03628	transcription termination factor Rho
NHBDKAOG_01234	K03671	thioredoxin 1  
NHBDKAOG_01235	K05524	ferredoxin   
NHBDKAOG_01236	K01897	long-chain acyl-CoA synthetase [EC:6.2.1.3]
NHBDKAOG_01237	K06867	uncharacterized protein  
NHBDKAOG_01239	K01937	CTP synthase [EC:6.3.4.2] 
NHBDKAOG_01240	K01627	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P
NHBDKAOG_01241	K01689	enolase [EC:4.2.1.11]  
NHBDKAOG_01242	K05589	cell division protein FtsB
NHBDKAOG_01244	K18979	epoxyqueuosine reductase [EC:1.17.99.6] 
NHBDKAOG_01245	K06925	tRNA threonylcarbamoyladenosine biosynthesis protein
NHBDKAOG_01246	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28] 
NHBDKAOG_01249	K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] 
NHBDKAOG_01250	K23997	ADP-dependent NAD(P)H-hydrate dehydratase /
NHBDKAOG_01253	K07089	uncharacterized protein  
NHBDKAOG_01255	K03325	arsenite transporter  
NHBDKAOG_01256	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
NHBDKAOG_01262	K09181	acetyltransferase   
NHBDKAOG_01264	K07397	putative redox protein 
NHBDKAOG_01266	K06917	tRNA 2-selenouridine synthase [EC:2.9.1.-]
NHBDKAOG_01267	K07001	NTE family protein 
NHBDKAOG_01271	K03192	urease accessory protein 
NHBDKAOG_01272	K03657	DNA helicase II /
NHBDKAOG_01273	K06917	tRNA 2-selenouridine synthase [EC:2.9.1.-]
NHBDKAOG_01274	K10804	acyl-CoA thioesterase I [EC:3.1.2.-
NHBDKAOG_01275	K02003	putative ABC transport system
NHBDKAOG_01277	K02291	15-cis-phytoene synthase [EC:2.5.1.32] 
NHBDKAOG_01281	K19172	DNA sulfur modification protein
NHBDKAOG_01282	K19171	DNA sulfur modification protein
NHBDKAOG_01285	K07486	transposase   
NHBDKAOG_01294	K07486	transposase   
NHBDKAOG_01296	K01999	branched-chain amino acid transport
NHBDKAOG_01297	K21023	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_01303	K01624	fructose-bisphosphate aldolase, class II
NHBDKAOG_01308	K16074	zinc transporter  
NHBDKAOG_01309	K01692	enoyl-CoA hydratase [EC:4.2.1.17] 
NHBDKAOG_01312	K03821	polyhydroxyalkanoate synthase subunit PhaC
NHBDKAOG_01314	K08683	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA
NHBDKAOG_01315	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
NHBDKAOG_01318	K22881	polyhydroxyalkanoate synthase subunit PhaE
NHBDKAOG_01319	K03821	polyhydroxyalkanoate synthase subunit PhaC
NHBDKAOG_01323	K18911	L-histidine Nalpha-methyltransferase [EC:2.1.1.44] 
NHBDKAOG_01327	K06925	tRNA threonylcarbamoyladenosine biosynthesis protein
NHBDKAOG_01328	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28] 
NHBDKAOG_01340	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
NHBDKAOG_01342	K00620	glutamate N-acetyltransferase / amino-acid
NHBDKAOG_01343	K03070	preprotein translocase subunit SecA
NHBDKAOG_01343	K16922	putative peptide zinc metalloprotease
NHBDKAOG_01345	K03688	ubiquinone biosynthesis protein 
NHBDKAOG_01346	K03478	chitin disaccharide deacetylase [EC:3.5.1.105]
NHBDKAOG_01348	K07264	4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43] 
NHBDKAOG_01349	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-] 
NHBDKAOG_01351	K01887	arginyl-tRNA synthetase [EC:6.1.1.19] 
NHBDKAOG_01353	K03673	protein dithiol oxidoreductase (disulfide-forming)
NHBDKAOG_01355	K21563	CRP/FNR family transcriptional regulator,
NHBDKAOG_01356	K18446	triphosphatase [EC:3.6.1.25]  
NHBDKAOG_01357	K07259	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding
NHBDKAOG_01358	K21023	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_01360	K03182	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98] 
NHBDKAOG_01362	K03179	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39] 
NHBDKAOG_01367	K21023	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_01368	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
NHBDKAOG_01369	K00611	ornithine carbamoyltransferase [EC:2.1.3.3] 
NHBDKAOG_01370	K01940	argininosuccinate synthase [EC:6.3.4.5] 
NHBDKAOG_01372	K09913	purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2]
NHBDKAOG_01373	K09767	cyclic-di-GMP-binding protein  
NHBDKAOG_01376	K00763	nicotinate phosphoribosyltransferase [EC:6.3.4.21] 
NHBDKAOG_01377	K02825	pyrimidine operon attenuation protein
NHBDKAOG_01378	K01868	threonyl-tRNA synthetase [EC:6.1.1.3] 
NHBDKAOG_01379	K02520	translation initiation factor IF-3
NHBDKAOG_01380	K02916	large subunit ribosomal protein
NHBDKAOG_01381	K02887	large subunit ribosomal protein
NHBDKAOG_01382	K01889	phenylalanyl-tRNA synthetase alpha chain
NHBDKAOG_01383	K01890	phenylalanyl-tRNA synthetase beta chain
NHBDKAOG_01384	K04764	integration host factor subunit
NHBDKAOG_01389	K07724	Ner family transcriptional regulator
NHBDKAOG_01393	K07497	putative transposase  
NHBDKAOG_01402	K03088	RNA polymerase sigma-70 factor,
NHBDKAOG_01405	K01869	leucyl-tRNA synthetase [EC:6.1.1.4] 
NHBDKAOG_01406	K03643	LPS-assembly lipoprotein  
NHBDKAOG_01407	K02340	DNA polymerase III subunit
NHBDKAOG_01409	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41] 
NHBDKAOG_01411	K07226	heme iron utilization protein
NHBDKAOG_01412	K07302	isoquinoline 1-oxidoreductase subunit alpha
NHBDKAOG_01413	K07303	isoquinoline 1-oxidoreductase subunit beta
NHBDKAOG_01414	K07402	xanthine dehydrogenase accessory factor
NHBDKAOG_01415	K07141	molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]
NHBDKAOG_01419	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
NHBDKAOG_01424	K02033	peptide/nickel transport system permease
NHBDKAOG_01425	K02034	peptide/nickel transport system permease
NHBDKAOG_01426	K02031	peptide/nickel transport system ATP-binding
NHBDKAOG_01426	K02032	peptide/nickel transport system ATP-binding
NHBDKAOG_01430	K01681	aconitate hydratase [EC:4.2.1.3] 
NHBDKAOG_01434	K09803	uncharacterized protein  
NHBDKAOG_01435	K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38] 
NHBDKAOG_01436	K02996	small subunit ribosomal protein
NHBDKAOG_01437	K02871	large subunit ribosomal protein
NHBDKAOG_01438	K07397	putative redox protein 
NHBDKAOG_01439	K06134	3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60] 
NHBDKAOG_01441	K08311	putative (di)nucleoside polyphosphate hydrolase
NHBDKAOG_01448	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01448	K07216	hemerythrin   
NHBDKAOG_01457	K07053	3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]
NHBDKAOG_01458	K07566	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87] 
NHBDKAOG_01460	K01867	tryptophanyl-tRNA synthetase [EC:6.1.1.2] 
NHBDKAOG_01461	K05896	segregation and condensation protein
NHBDKAOG_01462	K06024	segregation and condensation protein
NHBDKAOG_01463	K06178	23S rRNA pseudouridine2605 synthase
NHBDKAOG_01464	K09748	ribosome maturation factor RimP
NHBDKAOG_01465	K02600	transcription termination/antitermination protein NusA
NHBDKAOG_01466	K02519	translation initiation factor IF-2
NHBDKAOG_01467	K02834	ribosome-binding factor A 
NHBDKAOG_01468	K03177	tRNA pseudouridine55 synthase [EC:5.4.99.25]
NHBDKAOG_01469	K02077	zinc/manganese transport system substrate-binding
NHBDKAOG_01469	K09815	zinc transport system substrate-binding
NHBDKAOG_01470	K02075	zinc/manganese transport system permease
NHBDKAOG_01471	K02074	zinc/manganese transport system ATP-binding
NHBDKAOG_01477	K00852	ribokinase [EC:2.7.1.15]  
NHBDKAOG_01478	K07093	uncharacterized protein  
NHBDKAOG_01480	K03088	RNA polymerase sigma-70 factor,
NHBDKAOG_01482	K03427	type I restriction enzyme
NHBDKAOG_01483	K03427	type I restriction enzyme
NHBDKAOG_01485	K01154	type I restriction enzyme,
NHBDKAOG_01486	K01153	type I restriction enzyme,
NHBDKAOG_01488	K07448	restriction system protein 
NHBDKAOG_01498	K03976	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-] 
NHBDKAOG_01507	K05773	tungstate transport system permease
NHBDKAOG_01508	K05772	tungstate transport system substrate-binding
NHBDKAOG_01509	K00254	dihydroorotate dehydrogenase [EC:1.3.5.2] 
NHBDKAOG_01510	K03617	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_01511	K03616	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_01512	K03615	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_01513	K03614	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_01514	K03612	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_01515	K03613	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
NHBDKAOG_01516	K10773	endonuclease III [EC:4.2.99.18] 
NHBDKAOG_01518	K09989	uncharacterized protein  
NHBDKAOG_01521	K09989	uncharacterized protein  
NHBDKAOG_01522	K01620	threonine aldolase [EC:4.1.2.48] 
NHBDKAOG_01525	K15778	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8
NHBDKAOG_01526	K07019	uncharacterized protein  
NHBDKAOG_01528	K02843	heptosyltransferase II [EC:2.4.-.-] 
NHBDKAOG_01530	K00826	branched-chain amino acid aminotransferase
NHBDKAOG_01531	K12152	phosphatase NudJ [EC:3.6.1.-] 
NHBDKAOG_01533	K00566	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13] 
NHBDKAOG_01536	K02004	putative ABC transport system
NHBDKAOG_01537	K02004	putative ABC transport system
NHBDKAOG_01538	K05797	4-cresol dehydrogenase (hydroxylating) flavoprotein
NHBDKAOG_01540	K02469	DNA gyrase subunit A
NHBDKAOG_01541	K14170	chorismate mutase / prephenate
NHBDKAOG_01541	K04518	prephenate dehydratase [EC:4.2.1.51] 
NHBDKAOG_01542	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9] 
NHBDKAOG_01543	K04517	prephenate dehydrogenase [EC:1.3.1.12] 
