2767802455_NHBDKAOG_00003	K07334
2767802455_NHBDKAOG_01274	K10804
2767802455_NHBDKAOG_01275	K02003
2767802455_NHBDKAOG_01277	K02291
2767802455_NHBDKAOG_01281	K19172
2767802455_NHBDKAOG_01282	K19171
2767802455_NHBDKAOG_01285	K07486
2767802455_NHBDKAOG_01294	K07486
2767802455_NHBDKAOG_01296	K01999
2767802455_NHBDKAOG_01297	K21023
2767802455_NHBDKAOG_01303	K01624
2767802455_NHBDKAOG_01308	K16074
2767802455_NHBDKAOG_01309	K01692
2767802455_NHBDKAOG_01312	K03821
2767802455_NHBDKAOG_01314	K08683
2767802455_NHBDKAOG_01315	K00626
2767802455_NHBDKAOG_01318	K22881
2767802455_NHBDKAOG_01319	K03821
2767802455_NHBDKAOG_01323	K18911
2767802455_NHBDKAOG_01327	K06925
2767802455_NHBDKAOG_01328	K01448
2767802455_NHBDKAOG_01340	K07304
2767802455_NHBDKAOG_01342	K00620
2767802455_NHBDKAOG_01343	K03070
2767802455_NHBDKAOG_01343	K16922
2767802455_NHBDKAOG_01345	K03688
2767802455_NHBDKAOG_01346	K03478
2767802455_NHBDKAOG_01348	K07264
2767802455_NHBDKAOG_01349	K20534
2767802455_NHBDKAOG_01351	K01887
2767802455_NHBDKAOG_01353	K03673
2767802455_NHBDKAOG_01355	K21563
2767802455_NHBDKAOG_01356	K18446
2767802455_NHBDKAOG_01357	K07259
2767802455_NHBDKAOG_01358	K21023
2767802455_NHBDKAOG_01360	K03182
2767802455_NHBDKAOG_01362	K03179
2767802455_NHBDKAOG_01367	K21023
2767802455_NHBDKAOG_01368	K00821
2767802455_NHBDKAOG_01369	K00611
2767802455_NHBDKAOG_01370	K01940
2767802455_NHBDKAOG_01372	K09913
2767802455_NHBDKAOG_01373	K09767
2767802455_NHBDKAOG_01376	K00763
2767802455_NHBDKAOG_01377	K02825
2767802455_NHBDKAOG_01378	K01868
2767802455_NHBDKAOG_01379	K02520
2767802455_NHBDKAOG_01380	K02916
2767802455_NHBDKAOG_01381	K02887
2767802455_NHBDKAOG_01382	K01889
2767802455_NHBDKAOG_01383	K01890
2767802455_NHBDKAOG_01384	K04764
2767802455_NHBDKAOG_01389	K07724
2767802455_NHBDKAOG_01393	K07497
2767802455_NHBDKAOG_01402	K03088
2767802455_NHBDKAOG_01405	K01869
2767802455_NHBDKAOG_01406	K03643
2767802455_NHBDKAOG_01407	K02340
2767802455_NHBDKAOG_01409	K00147
2767802455_NHBDKAOG_01411	K07226
2767802455_NHBDKAOG_01412	K07302
2767802455_NHBDKAOG_01413	K07303
2767802455_NHBDKAOG_01414	K07402
2767802455_NHBDKAOG_01415	K07141
2767802455_NHBDKAOG_01419	K07315
2767802455_NHBDKAOG_01424	K02033
2767802455_NHBDKAOG_01425	K02034
2767802455_NHBDKAOG_01426	K02031
2767802455_NHBDKAOG_01426	K02032
2767802455_NHBDKAOG_01430	K01681
2767802455_NHBDKAOG_01434	K09803
2767802455_NHBDKAOG_01435	K00145
2767802455_NHBDKAOG_01436	K02996
2767802455_NHBDKAOG_01437	K02871
2767802455_NHBDKAOG_01438	K07397
2767802455_NHBDKAOG_01439	K06134
2767802455_NHBDKAOG_01441	K08311
2767802455_NHBDKAOG_01448	K03406
2767802455_NHBDKAOG_01448	K07216
2767802455_NHBDKAOG_01457	K07053
2767802455_NHBDKAOG_01458	K07566
2767802455_NHBDKAOG_01460	K01867
2767802455_NHBDKAOG_01461	K05896
2767802455_NHBDKAOG_01462	K06024
2767802455_NHBDKAOG_01463	K06178
2767802455_NHBDKAOG_01464	K09748
2767802455_NHBDKAOG_01465	K02600
2767802455_NHBDKAOG_01466	K02519
2767802455_NHBDKAOG_01467	K02834
2767802455_NHBDKAOG_01468	K03177
2767802455_NHBDKAOG_01469	K02077
2767802455_NHBDKAOG_01469	K09815
2767802455_NHBDKAOG_01470	K02075
2767802455_NHBDKAOG_01471	K02074
2767802455_NHBDKAOG_01477	K00852
2767802455_NHBDKAOG_01478	K07093
2767802455_NHBDKAOG_01480	K03088
2767802455_NHBDKAOG_01482	K03427
2767802455_NHBDKAOG_01483	K03427
2767802455_NHBDKAOG_01485	K01154
2767802455_NHBDKAOG_01486	K01153
2767802455_NHBDKAOG_01488	K07448
2767802455_NHBDKAOG_01498	K03976
2767802455_NHBDKAOG_01507	K05773
2767802455_NHBDKAOG_01508	K05772
2767802455_NHBDKAOG_01509	K00254
2767802455_NHBDKAOG_01510	K03617
2767802455_NHBDKAOG_01511	K03616
2767802455_NHBDKAOG_01512	K03615
2767802455_NHBDKAOG_01513	K03614
2767802455_NHBDKAOG_01514	K03612
2767802455_NHBDKAOG_01515	K03613
2767802455_NHBDKAOG_01516	K10773
2767802455_NHBDKAOG_01518	K09989
2767802455_NHBDKAOG_01521	K09989
2767802455_NHBDKAOG_01522	K01620
2767802455_NHBDKAOG_01525	K15778
2767802455_NHBDKAOG_01526	K07019
2767802455_NHBDKAOG_01528	K02843
2767802455_NHBDKAOG_01530	K00826
2767802455_NHBDKAOG_01531	K12152
2767802455_NHBDKAOG_01533	K00566
2767802455_NHBDKAOG_01536	K02004
2767802455_NHBDKAOG_01537	K02004
2767802455_NHBDKAOG_01538	K05797
2767802455_NHBDKAOG_01540	K02469
2767802455_NHBDKAOG_01541	K14170
2767802455_NHBDKAOG_01541	K04518
2767802455_NHBDKAOG_01542	K00817
2767802455_NHBDKAOG_01543	K04517
2767802455_NHBDKAOG_01544	K00800
2767802455_NHBDKAOG_01544	K00945
2767802455_NHBDKAOG_01545	K02945
2767802455_NHBDKAOG_01546	K05788
2767802455_NHBDKAOG_01547	K19804
2767802455_NHBDKAOG_01548	K21344
2767802455_NHBDKAOG_01549	K03274
2767802455_NHBDKAOG_01550	K12339
2767802455_NHBDKAOG_01551	K07501
2767802455_NHBDKAOG_01553	K10001
2767802455_NHBDKAOG_01557	K00024
2767802455_NHBDKAOG_01558	K03710
2767802455_NHBDKAOG_01570	K07028
2767802455_NHBDKAOG_01571	K07028
2767802455_NHBDKAOG_01574	K15523
2767802455_NHBDKAOG_01575	K13590
2767802455_NHBDKAOG_01576	K21023
2767802455_NHBDKAOG_01576	K02488
2767802455_NHBDKAOG_01581	K03406
2767802455_NHBDKAOG_01581	K07216
2767802455_NHBDKAOG_01582	K21023
2767802455_NHBDKAOG_01585	K20974
2767802455_NHBDKAOG_01587	K02014
2767802455_NHBDKAOG_01588	K02040
2767802455_NHBDKAOG_01589	K20974
2767802455_NHBDKAOG_01589	K20976
2767802455_NHBDKAOG_01591	K01778
2767802455_NHBDKAOG_01592	K09921
2767802455_NHBDKAOG_01593	K03733
2767802455_NHBDKAOG_01595	K02575
2767802455_NHBDKAOG_01596	K00363
2767802455_NHBDKAOG_01598	K02902
2767802455_NHBDKAOG_01599	K02913
2767802455_NHBDKAOG_01600	K01626
2767802455_NHBDKAOG_01601	K07814
2767802455_NHBDKAOG_01603	K06942
2767802455_NHBDKAOG_01604	K01056
2767802455_NHBDKAOG_01605	K02897
2767802455_NHBDKAOG_01606	K00948
2767802455_NHBDKAOG_01608	K00919
2767802455_NHBDKAOG_01609	K02494
2767802455_NHBDKAOG_01611	K10563
2767802455_NHBDKAOG_01618	K00831
2767802455_NHBDKAOG_01619	K00058
2767802455_NHBDKAOG_01621	K00688
2767802455_NHBDKAOG_01622	K03719
2767802455_NHBDKAOG_01623	K08227
2767802455_NHBDKAOG_01625	K01775
2767802455_NHBDKAOG_01626	K04485
2767802455_NHBDKAOG_01631	K09822
2767802455_NHBDKAOG_01633	K01512
2767802455_NHBDKAOG_01635	K01525
2767802455_NHBDKAOG_01636	K01784
2767802455_NHBDKAOG_01637	K03746
2767802455_NHBDKAOG_01638	K16048
2767802455_NHBDKAOG_01639	K03575
2767802455_NHBDKAOG_01640	K21023
2767802455_NHBDKAOG_01642	K03186
2767802455_NHBDKAOG_01645	K16165
2767802455_NHBDKAOG_01648	K06153
2767802455_NHBDKAOG_01649	K07000
2767802455_NHBDKAOG_01650	K01147
2767802455_NHBDKAOG_01651	K03832
2767802455_NHBDKAOG_01653	K03814
2767802455_NHBDKAOG_01656	K08296
2767802455_NHBDKAOG_01658	K01649
2767802455_NHBDKAOG_01659	K03719
2767802455_NHBDKAOG_01665	K09983
2767802455_NHBDKAOG_01667	K00799
2767802455_NHBDKAOG_01670	K05795
2767802455_NHBDKAOG_01674	K03793
2767802455_NHBDKAOG_01675	K14058
2767802455_NHBDKAOG_01677	K02242
2767802455_NHBDKAOG_01678	K01012
2767802455_NHBDKAOG_01679	K02169
2767802455_NHBDKAOG_01686	K03427
2767802455_NHBDKAOG_01688	K01154
2767802455_NHBDKAOG_01709	K04069
2767802455_NHBDKAOG_01710	K06990
2767802455_NHBDKAOG_01710	K09141
2767802455_NHBDKAOG_01711	K06990
2767802455_NHBDKAOG_01712	K00991
2767802455_NHBDKAOG_01713	K01770
2767802455_NHBDKAOG_01719	K06042
2767802455_NHBDKAOG_01720	K02188
2767802455_NHBDKAOG_01721	K00595
2767802455_NHBDKAOG_01722	K03394
2767802455_NHBDKAOG_01723	K02189
2767802455_NHBDKAOG_01724	K02189
2767802455_NHBDKAOG_01725	K05934
2767802455_NHBDKAOG_01730	K01046
2767802455_NHBDKAOG_01733	K00154
2767802455_NHBDKAOG_01736	K08305
2767802455_NHBDKAOG_01736	K01792
2767802455_NHBDKAOG_01740	K03775
2767802455_NHBDKAOG_01741	K01999
2767802455_NHBDKAOG_01743	K03555
2767802455_NHBDKAOG_01747	K00175
2767802455_NHBDKAOG_01748	K00174
2767802455_NHBDKAOG_01751	K01759
2767802455_NHBDKAOG_01752	K07043
2767802455_NHBDKAOG_01753	K00655
2767802455_NHBDKAOG_01754	K03273
2767802455_NHBDKAOG_01755	K01879
2767802455_NHBDKAOG_01756	K01878
2767802455_NHBDKAOG_01757	K03820
2767802455_NHBDKAOG_01758	K06189
2767802455_NHBDKAOG_01759	K01595
2767802455_NHBDKAOG_01762	K03702
2767802455_NHBDKAOG_01763	K00832
2767802455_NHBDKAOG_01766	K02040
2767802455_NHBDKAOG_01767	K08683
2767802455_NHBDKAOG_01771	K01736
2767802455_NHBDKAOG_01772	K09794
2767802455_NHBDKAOG_01773	K05820
2767802455_NHBDKAOG_01774	K00259
2767802455_NHBDKAOG_01775	K07484
2767802455_NHBDKAOG_01777	K01996
2767802455_NHBDKAOG_01777	K10822
2767802455_NHBDKAOG_01778	K01995
2767802455_NHBDKAOG_01778	K10822
2767802455_NHBDKAOG_01779	K01998
2767802455_NHBDKAOG_01780	K01997
2767802455_NHBDKAOG_01782	K07448
2767802455_NHBDKAOG_01785	K01999
2767802455_NHBDKAOG_01788	K04062
2767802455_NHBDKAOG_01790	K00942
2767802455_NHBDKAOG_01791	K03060
2767802455_NHBDKAOG_01792	K01139
2767802455_NHBDKAOG_01793	K00285
2767802455_NHBDKAOG_01794	K03424
2767802455_NHBDKAOG_01796	K00239
2767802455_NHBDKAOG_01796	K00244
2767802455_NHBDKAOG_01797	K00245
2767802455_NHBDKAOG_01797	K00240
2767802455_NHBDKAOG_01797	K00246
2767802455_NHBDKAOG_01799	K01008
2767802455_NHBDKAOG_01800	K07213
2767802455_NHBDKAOG_01801	K17686
2767802455_NHBDKAOG_01801	K01533
2767802455_NHBDKAOG_01802	K09792
2767802455_NHBDKAOG_01804	K19661
2767802455_NHBDKAOG_01805	K03832
2767802455_NHBDKAOG_01806	K02674
2767802455_NHBDKAOG_01807	K02673
2767802455_NHBDKAOG_01808	K02672
2767802455_NHBDKAOG_01809	K02671
2767802455_NHBDKAOG_01810	K08084
2767802455_NHBDKAOG_01811	K02655
2767802455_NHBDKAOG_01813	K03527
2767802455_NHBDKAOG_01814	K03774
2767802455_NHBDKAOG_01815	K03101
2767802455_NHBDKAOG_01816	K01870
2767802455_NHBDKAOG_01817	K11753
2767802455_NHBDKAOG_01818	K01533
2767802455_NHBDKAOG_01820	K00404
2767802455_NHBDKAOG_01821	K00405
2767802455_NHBDKAOG_01822	K00407
2767802455_NHBDKAOG_01823	K00406
2767802455_NHBDKAOG_01825	K09926
2767802455_NHBDKAOG_01826	K03832
2767802455_NHBDKAOG_01827	K18453
2767802455_NHBDKAOG_01828	K02556
2767802455_NHBDKAOG_01829	K02557
2767802455_NHBDKAOG_01830	K00799
2767802455_NHBDKAOG_01831	K01756
2767802455_NHBDKAOG_01838	K03406
2767802455_NHBDKAOG_01839	K11527
2767802455_NHBDKAOG_01842	K04090
2767802455_NHBDKAOG_01848	K03208
2767802455_NHBDKAOG_01849	K08679
2767802455_NHBDKAOG_01850	K00012
2767802455_NHBDKAOG_01853	K02020
2767802455_NHBDKAOG_01854	K06204
2767802455_NHBDKAOG_01855	K00962
2767802455_NHBDKAOG_01856	K02956
2767802455_NHBDKAOG_01860	K12573
2767802455_NHBDKAOG_01864	K03074
2767802455_NHBDKAOG_01865	K03072
2767802455_NHBDKAOG_01866	K03210
2767802455_NHBDKAOG_01867	K00773
2767802455_NHBDKAOG_01868	K01006
2767802455_NHBDKAOG_01870	K00170
2767802455_NHBDKAOG_01871	K00169
2767802455_NHBDKAOG_01872	K00172
2767802455_NHBDKAOG_01873	K14449
2767802455_NHBDKAOG_01874	K08691
2767802455_NHBDKAOG_01874	K01644
2767802455_NHBDKAOG_01875	K14470
2767802455_NHBDKAOG_01878	K09709
2767802455_NHBDKAOG_01881	K14448
2767802455_NHBDKAOG_01882	K14449
2767802455_NHBDKAOG_01883	K14447
2767802455_NHBDKAOG_01884	K07588
2767802455_NHBDKAOG_01885	K14446
2767802455_NHBDKAOG_01886	K00344
2767802455_NHBDKAOG_01887	K17865
2767802455_NHBDKAOG_01888	K00428
2767802455_NHBDKAOG_01890	K05786
2767802455_NHBDKAOG_01893	K03554
2767802455_NHBDKAOG_01894	K03722
2767802455_NHBDKAOG_01896	K03753
2767802455_NHBDKAOG_01897	K03750
2767802455_NHBDKAOG_01898	K03636
2767802455_NHBDKAOG_01899	K03635
2767802455_NHBDKAOG_01901	K02314
2767802455_NHBDKAOG_01903	K07175
2767802455_NHBDKAOG_01904	K03564
2767802455_NHBDKAOG_01932	K01495
2767802455_NHBDKAOG_01934	K07115
2767802455_NHBDKAOG_01937	K07240
2767802455_NHBDKAOG_01939	K07568
2767802455_NHBDKAOG_01940	K00797
2767802455_NHBDKAOG_01942	K11312
2767802455_NHBDKAOG_01943	K10680
2767802455_NHBDKAOG_01951	K09667
2767802455_NHBDKAOG_01952	K03499
2767802455_NHBDKAOG_01956	K03296
2767802455_NHBDKAOG_01957	K02005
2767802455_NHBDKAOG_01959	K05782
2767802455_NHBDKAOG_01960	K15738
2767802455_NHBDKAOG_01969	K15899
2767802455_NHBDKAOG_01971	K15894
2767802455_NHBDKAOG_01976	K01406
2767802455_NHBDKAOG_01977	K04061
2767802455_NHBDKAOG_01978	K21087
2767802455_NHBDKAOG_01979	K00247
2767802455_NHBDKAOG_01981	K00632
2767802455_NHBDKAOG_01981	K00626
2767802455_NHBDKAOG_01985	K09022
2767802455_NHBDKAOG_01986	K03655
2767802455_NHBDKAOG_01987	K03406
2767802455_NHBDKAOG_01989	K03583
2767802455_NHBDKAOG_01990	K03582
2767802455_NHBDKAOG_01991	K03581
2767802455_NHBDKAOG_01992	K02454
2767802455_NHBDKAOG_01994	K04079
2767802455_NHBDKAOG_01995	K04760
2767802455_NHBDKAOG_02000	K00573
2767802455_NHBDKAOG_02002	K09966
2767802455_NHBDKAOG_02004	K04755
2767802455_NHBDKAOG_02005	K04044
2767802455_NHBDKAOG_02006	K04082
2767802455_NHBDKAOG_02007	K13628
2767802455_NHBDKAOG_02008	K04488
2767802455_NHBDKAOG_02009	K04487
2767802455_NHBDKAOG_02010	K04487
2767802455_NHBDKAOG_02011	K13643
2767802455_NHBDKAOG_02012	K00640
2767802455_NHBDKAOG_02013	K02533
2767802455_NHBDKAOG_02014	K01092
2767802455_NHBDKAOG_02018	K01069
2767802455_NHBDKAOG_02019	K00382
2767802455_NHBDKAOG_02020	K00658
2767802455_NHBDKAOG_02021	K00164
2767802455_NHBDKAOG_02022	K01647
2767802455_NHBDKAOG_02023	K09159
2767802455_NHBDKAOG_02024	K00240
2767802455_NHBDKAOG_02025	K00239
2767802455_NHBDKAOG_02026	K00242
2767802455_NHBDKAOG_02027	K00241
2767802455_NHBDKAOG_02032	K19092
2767802455_NHBDKAOG_02038	K08989
2767802455_NHBDKAOG_02039	K03525
2767802455_NHBDKAOG_02040	K03524
2767802455_NHBDKAOG_02049	K07659
2767802455_NHBDKAOG_02049	K02483
2767802455_NHBDKAOG_02050	K07638
2767802455_NHBDKAOG_02052	K02939
2767802455_NHBDKAOG_02053	K02963
2767802455_NHBDKAOG_02054	K02686
2767802455_NHBDKAOG_02055	K02990
2767802455_NHBDKAOG_02057	K03695
2767802455_NHBDKAOG_02059	K07711
2767802455_NHBDKAOG_02061	K07715
2767802455_NHBDKAOG_02062	K01682
2767802455_NHBDKAOG_02064	K06168
2767802455_NHBDKAOG_02065	K06217
2767802455_NHBDKAOG_02066	K07042
2767802455_NHBDKAOG_02070	K01768
2767802455_NHBDKAOG_02072	K07126
2767802455_NHBDKAOG_02073	K02473
2767802455_NHBDKAOG_02074	K02474
2767802455_NHBDKAOG_02076	K02481
2767802455_NHBDKAOG_02080	K01907
2767802455_NHBDKAOG_02081	K07107
2767802455_NHBDKAOG_02082	K20035
2767802455_NHBDKAOG_02085	K03522
2767802455_NHBDKAOG_02086	K03521
2767802455_NHBDKAOG_02086	K03522
2767802455_NHBDKAOG_02091	K04653
2767802455_NHBDKAOG_02092	K03605
2767802455_NHBDKAOG_02093	K06281
2767802455_NHBDKAOG_02095	K00124
2767802455_NHBDKAOG_02098	K20034
2767802455_NHBDKAOG_02098	K00666
2767802455_NHBDKAOG_02099	K06889
2767802455_NHBDKAOG_02102	K03406
2767802455_NHBDKAOG_02103	K04047
2767802455_NHBDKAOG_02106	K02004
2767802455_NHBDKAOG_02109	K03406
2767802455_NHBDKAOG_02110	K20333
2767802455_NHBDKAOG_02117	K04751
2767802455_NHBDKAOG_02117	K04752
2767802455_NHBDKAOG_02118	K09951
2767802455_NHBDKAOG_02119	K09951
2767802455_NHBDKAOG_02120	K15342
2767802455_NHBDKAOG_02124	K00384
2767802455_NHBDKAOG_02125	K10914
2767802455_NHBDKAOG_02126	K03466
2767802455_NHBDKAOG_02127	K03634
2767802455_NHBDKAOG_02129	K06204
2767802455_NHBDKAOG_02131	K02342
2767802455_NHBDKAOG_02131	K09951
2767802455_NHBDKAOG_02133	K03424
2767802455_NHBDKAOG_02134	K02676
2767802455_NHBDKAOG_02135	K02341
2767802455_NHBDKAOG_02136	K00943
2767802455_NHBDKAOG_02137	K07082
2767802455_NHBDKAOG_02138	K06980
2767802455_NHBDKAOG_02141	K11991
2767802455_NHBDKAOG_02145	K06077
2767802455_NHBDKAOG_02154	K07001
2767802455_NHBDKAOG_02164	K06926
2767802455_NHBDKAOG_02171	K03424
2767802455_NHBDKAOG_02172	K12070
2767802455_NHBDKAOG_02182	K03630
2767802455_NHBDKAOG_02194	K07154
2767802455_NHBDKAOG_02197	K12071
2767802455_NHBDKAOG_02224	K03169
2767802455_NHBDKAOG_02225	K03111
2767802455_NHBDKAOG_02233	K12055
2767802455_NHBDKAOG_02233	K03496
2767802455_NHBDKAOG_02234	K07733
2767802455_NHBDKAOG_02237	K05541
2767802455_NHBDKAOG_02238	K13590
2767802455_NHBDKAOG_02239	K19661
2767802455_NHBDKAOG_02247	K04078
2767802455_NHBDKAOG_02248	K04077
2767802455_NHBDKAOG_02249	K03770
2767802455_NHBDKAOG_02252	K01338
2767802455_NHBDKAOG_02253	K03544
2767802455_NHBDKAOG_02254	K01358
2767802455_NHBDKAOG_02255	K03545
2767802455_NHBDKAOG_02257	K01560
2767802455_NHBDKAOG_02261	K02238
2767802455_NHBDKAOG_02263	K06919
2767802455_NHBDKAOG_02274	K01174
2767802455_NHBDKAOG_02275	K01153
2767802455_NHBDKAOG_02276	K03427
2767802455_NHBDKAOG_02277	K01154
2767802455_NHBDKAOG_02279	K20074
2767802455_NHBDKAOG_02287	K15342
2767802455_NHBDKAOG_02288	K09951
2767802455_NHBDKAOG_02290	K02226
2767802455_NHBDKAOG_02291	K06218
2767802455_NHBDKAOG_02291	K19158
2767802455_NHBDKAOG_02298	K00833
2767802455_NHBDKAOG_02299	K00652
2767802455_NHBDKAOG_02300	K02170
2767802455_NHBDKAOG_02301	K02169
2767802455_NHBDKAOG_02302	K01935
2767802455_NHBDKAOG_02303	K00626
2767802455_NHBDKAOG_02307	K06985
2767802455_NHBDKAOG_02313	K01420
2767802455_NHBDKAOG_02314	K02495
2767802455_NHBDKAOG_02315	K12286
2767802455_NHBDKAOG_02316	K12285
2767802455_NHBDKAOG_02317	K10927
2767802455_NHBDKAOG_02318	K10926
2767802455_NHBDKAOG_02319	K12287
2767802455_NHBDKAOG_02321	K10924
2767802455_NHBDKAOG_02323	K12278
2767802455_NHBDKAOG_02324	K12276
2767802455_NHBDKAOG_02324	K02652
2767802455_NHBDKAOG_02330	K00558
2767802455_NHBDKAOG_02336	K07481
2767802455_NHBDKAOG_02337	K03832
2767802455_NHBDKAOG_02339	K09181
2767802455_NHBDKAOG_02341	K00703
2767802455_NHBDKAOG_02342	K00975
2767802455_NHBDKAOG_02343	K01835
2767802455_NHBDKAOG_02344	K01810
2767802455_NHBDKAOG_02346	K01356
2767802455_NHBDKAOG_02355	K18235
2767802455_NHBDKAOG_02356	K11690
2767802455_NHBDKAOG_02357	K11689
2767802455_NHBDKAOG_02358	K11688
2767802455_NHBDKAOG_02359	K02016
2767802455_NHBDKAOG_02360	K02225
2767802455_NHBDKAOG_02361	K02227
2767802455_NHBDKAOG_02362	K02232
2767802455_NHBDKAOG_02364	K02231
2767802455_NHBDKAOG_02365	K00768
2767802455_NHBDKAOG_02366	K01406
2767802455_NHBDKAOG_02367	K07234
2767802455_NHBDKAOG_02368	K03782
2767802455_NHBDKAOG_02369	K01214
2767802455_NHBDKAOG_02369	K01236
2767802455_NHBDKAOG_02369	K01200
2767802455_NHBDKAOG_02371	K03098
2767802455_NHBDKAOG_02375	K02379
2767802455_NHBDKAOG_02376	K00123
2767802455_NHBDKAOG_02377	K22515
2767802455_NHBDKAOG_02378	K00975
2767802455_NHBDKAOG_02379	K02203
2767802455_NHBDKAOG_02380	K01433
2767802455_NHBDKAOG_02381	K06158
2767802455_NHBDKAOG_02382	K07216
2767802455_NHBDKAOG_02387	K03566
2767802455_NHBDKAOG_02390	K05825
2767802455_NHBDKAOG_02393	K02013
2767802455_NHBDKAOG_02394	K02015
2767802455_NHBDKAOG_02395	K16092
2767802455_NHBDKAOG_02395	K02014
2767802455_NHBDKAOG_02397	K09888
2767802455_NHBDKAOG_02399	K02233
2767802455_NHBDKAOG_02400	K02226
2767802455_NHBDKAOG_02401	K01875
2767802455_NHBDKAOG_02402	K07478
2767802455_NHBDKAOG_02403	K00635
2767802455_NHBDKAOG_02405	K03566
2767802455_NHBDKAOG_02407	K00937
2767802455_NHBDKAOG_02410	K09933
2767802455_NHBDKAOG_02411	K11711
2767802455_NHBDKAOG_02412	K11712
2767802455_NHBDKAOG_02413	K04075
2767802455_NHBDKAOG_02414	K01962
2767802455_NHBDKAOG_02415	K01247
2767802455_NHBDKAOG_02417	K03321
2767802455_NHBDKAOG_02420	K07220
2767802455_NHBDKAOG_02429	K01534
2767802455_NHBDKAOG_02431	K09122
2767802455_NHBDKAOG_02432	K01620
2767802455_NHBDKAOG_02434	K01872
2767802455_NHBDKAOG_02438	K07487
2767802455_NHBDKAOG_02438	K07481
2767802455_NHBDKAOG_02448	K04068
2767802455_NHBDKAOG_02452	K01998
2767802455_NHBDKAOG_02452	K01995
2767802455_NHBDKAOG_02452	K10822
2767802455_NHBDKAOG_02453	K01997
2767802455_NHBDKAOG_02454	K01999
2767802455_NHBDKAOG_02455	K05559
2767802455_NHBDKAOG_02455	K05565
2767802455_NHBDKAOG_02455	K05566
2767802455_NHBDKAOG_02456	K05560
2767802455_NHBDKAOG_02457	K05561
2767802455_NHBDKAOG_02458	K05562
2767802455_NHBDKAOG_02458	K05569
2767802455_NHBDKAOG_02459	K05563
2767802455_NHBDKAOG_02459	K05570
2767802455_NHBDKAOG_02460	K05564
2767802455_NHBDKAOG_02479	K01637
2767802455_NHBDKAOG_02483	K15633
2767802455_NHBDKAOG_02485	K07182
2767802455_NHBDKAOG_02488	K06207
2767802455_NHBDKAOG_02489	K03406
2767802455_NHBDKAOG_02490	K14534
2767802455_NHBDKAOG_02493	K19267
2767802455_NHBDKAOG_02494	K12262
2767802455_NHBDKAOG_02497	K09019
2767802455_NHBDKAOG_02500	K07152
2767802455_NHBDKAOG_02502	K09796
2767802455_NHBDKAOG_02503	K13993
2767802455_NHBDKAOG_02506	K03687
2767802455_NHBDKAOG_02508	K13634
2767802455_NHBDKAOG_02509	K07090
2767802455_NHBDKAOG_02510	K00381
2767802455_NHBDKAOG_02512	K00390
2767802455_NHBDKAOG_02513	K00957
2767802455_NHBDKAOG_02514	K00956
2767802455_NHBDKAOG_02516	K03218
2767802455_NHBDKAOG_02517	K16692
2767802455_NHBDKAOG_02518	K01991
2767802455_NHBDKAOG_02519	K01104
2767802455_NHBDKAOG_02520	K02851
2767802455_NHBDKAOG_02528	K02437
2767802455_NHBDKAOG_02529	K00281
2767802455_NHBDKAOG_02530	K00432
2767802455_NHBDKAOG_02533	K03544
2767802455_NHBDKAOG_02534	K06889
2767802455_NHBDKAOG_02536	K18929
2767802455_NHBDKAOG_02537	K00782
2767802455_NHBDKAOG_02538	K18928
2767802455_NHBDKAOG_02539	K05799
2767802455_NHBDKAOG_02540	K03664
2767802455_NHBDKAOG_02541	K18588
2767802455_NHBDKAOG_02542	K09801
2767802455_NHBDKAOG_02544	K00088
2767802455_NHBDKAOG_02545	K01951
2767802455_NHBDKAOG_02547	K03406
2767802455_NHBDKAOG_02547	K07216
2767802455_NHBDKAOG_02548	K13038
2767802455_NHBDKAOG_02549	K01520
2767802455_NHBDKAOG_02550	K03611
2767802455_NHBDKAOG_02551	K00507
2767802455_NHBDKAOG_02552	K07661
2767802455_NHBDKAOG_02553	K07639
2767802455_NHBDKAOG_02557	K03500
2767802455_NHBDKAOG_02559	K11175
2767802455_NHBDKAOG_02560	K03975
2767802455_NHBDKAOG_02561	K03572
2767802455_NHBDKAOG_02562	K00791
2767802455_NHBDKAOG_02563	K02342
2767802455_NHBDKAOG_02563	K09951
2767802455_NHBDKAOG_02567	K03496
2767802455_NHBDKAOG_02572	K02040
2767802455_NHBDKAOG_02573	K03406
2767802455_NHBDKAOG_02575	K06880
2767802455_NHBDKAOG_02576	K07397
2767802455_NHBDKAOG_02577	K09181
2767802455_NHBDKAOG_02580	K02456
2767802455_NHBDKAOG_02581	K02456
2767802455_NHBDKAOG_02582	K02453
2767802455_NHBDKAOG_02600	K09803
2767802455_NHBDKAOG_02616	K07493
2767802455_NHBDKAOG_02619	K07012
2767802455_NHBDKAOG_02621	K19075
2767802455_NHBDKAOG_02622	K19090
2767802455_NHBDKAOG_02623	K15342
2767802455_NHBDKAOG_02623	K07464
2767802455_NHBDKAOG_02624	K09951
2767802455_NHBDKAOG_02628	K07137
2767802455_NHBDKAOG_02629	K01628
2767802455_NHBDKAOG_02639	K01207
2767802455_NHBDKAOG_02640	K06143
2767802455_NHBDKAOG_02641	K21023
2767802455_NHBDKAOG_02652	K07484
2767802455_NHBDKAOG_02654	K00382
2767802455_NHBDKAOG_02655	K00627
2767802455_NHBDKAOG_02656	K00163
2767802455_NHBDKAOG_02661	K07001
2767802455_NHBDKAOG_02664	K03666
2767802455_NHBDKAOG_02665	K03665
2767802455_NHBDKAOG_02666	K04088
