Orthogroup	2506520024	2687453699	2767802316	2767802455	644736333	GCA_000310125.2	GCA_003332265.1	Reactor4-bin.4	spades-bin.32
OG0000363	2506670001	PEBOPBNB_01669	GNJGOIBN_00820, GNJGOIBN_01356	NHBDKAOG_02947	MCBBHCNB_01624	lcl|AMXB01000002.1_prot_ENO82933.1_193	BFLDHLJO_02278	CEKMHFBL_02118	BBLLADNB_03675
OG0000364	2506670002	PEBOPBNB_01670	GNJGOIBN_00821, GNJGOIBN_01357	NHBDKAOG_02946	MCBBHCNB_01625	lcl|AMXB01000002.1_prot_ENO82932.1_192	BFLDHLJO_02279	CEKMHFBL_02117	BBLLADNB_03724
OG0000365	2506670025	PEBOPBNB_01462	GNJGOIBN_02987	NHBDKAOG_01460	MCBBHCNB_03257	lcl|AMXB01000005.1_prot_ENO82453.1_748, lcl|AMXB01000009.1_prot_ENO81784.1_1275	BFLDHLJO_03570	CEKMHFBL_03773	BBLLADNB_02976
OG0000366	2506670030	PEBOPBNB_01466	GNJGOIBN_02983	NHBDKAOG_01464	MCBBHCNB_03253	lcl|AMXB01000005.1_prot_ENO82449.1_744	BFLDHLJO_03574	CEKMHFBL_03777	BBLLADNB_02000, BBLLADNB_02107
OG0000367	2506670044, 2506672573	PEBOPBNB_00114	GNJGOIBN_03284	NHBDKAOG_02072	MCBBHCNB_03560	lcl|AMXB01000039.1_prot_ENO76463.1_3539	BFLDHLJO_00625	CEKMHFBL_03478	BBLLADNB_02642
OG0000368	2506670045, 2506671484	PEBOPBNB_00116	GNJGOIBN_03368	NHBDKAOG_02074	MCBBHCNB_03562	lcl|AMXB01000058.1_prot_ENO75231.1_4002	BFLDHLJO_00623	CEKMHFBL_03476	BBLLADNB_02640
OG0000369	2506670046	PEBOPBNB_00117	GNJGOIBN_03369	NHBDKAOG_02075	MCBBHCNB_03563	lcl|AMXB01000035.1_prot_ENO76952.1_3362, lcl|AMXB01000039.1_prot_ENO76464.1_3540	BFLDHLJO_00622	CEKMHFBL_03475	BBLLADNB_02639
OG0000370	2506670050	PEBOPBNB_01692	GNJGOIBN_01587	NHBDKAOG_03064	MCBBHCNB_01893	lcl|AMXB01000015.1_prot_ENO81002.1_1974, lcl|AMXB01000036.1_prot_ENO76795.1_3366	BFLDHLJO_02185	CEKMHFBL_02728	BBLLADNB_00021
OG0000371	2506670054	PEBOPBNB_01053	GNJGOIBN_04339	NHBDKAOG_03998, NHBDKAOG_04059, NHBDKAOG_04060	MCBBHCNB_04632		BFLDHLJO_01461	CEKMHFBL_04165	BBLLADNB_01328
OG0000372	2506670077	PEBOPBNB_03574	GNJGOIBN_01390	NHBDKAOG_02910	MCBBHCNB_01674	lcl|AMXB01000004.1_prot_ENO82592.1_551		CEKMHFBL_00018, CEKMHFBL_01327	BBLLADNB_00239, BBLLADNB_00754
OG0000373	2506670083	PEBOPBNB_02091	GNJGOIBN_02945	NHBDKAOG_01536	MCBBHCNB_03215	lcl|AMXB01000039.1_prot_ENO76451.1_3527	BFLDHLJO_02304	CEKMHFBL_03885	BBLLADNB_01866, BBLLADNB_03301
OG0000374	2506670095	PEBOPBNB_01254	GNJGOIBN_00884	NHBDKAOG_03346	MCBBHCNB_01154	lcl|AMXB01000001.1_prot_ENO83268.1_141	BFLDHLJO_04154	CEKMHFBL_01618, CEKMHFBL_01933	BBLLADNB_03845
OG0000375	2506670107	PEBOPBNB_03651	GNJGOIBN_03325	NHBDKAOG_01241	MCBBHCNB_03607	lcl|AMXB01000005.1_prot_ENO82477.1_772, lcl|AMXB01000012.1_prot_ENO81412.1_1715	BFLDHLJO_03941	CEKMHFBL_00299	BBLLADNB_02502
OG0000376	2506670118	PEBOPBNB_03730	GNJGOIBN_01869, GNJGOIBN_01894	NHBDKAOG_02540	MCBBHCNB_02206	lcl|AMXB01000001.1_prot_ENO83214.1_87	BFLDHLJO_03815	CEKMHFBL_00660	BBLLADNB_00693
OG0000377	2506670119	PEBOPBNB_03731	GNJGOIBN_01868, GNJGOIBN_01893	NHBDKAOG_02541	MCBBHCNB_02205	lcl|AMXB01000001.1_prot_ENO83215.1_88	BFLDHLJO_03814	CEKMHFBL_00661	BBLLADNB_00694
OG0000378	2506670120	PEBOPBNB_03732	GNJGOIBN_01867, GNJGOIBN_01892	NHBDKAOG_02542	MCBBHCNB_02204	lcl|AMXB01000001.1_prot_ENO83216.1_89	BFLDHLJO_03813	CEKMHFBL_00662	BBLLADNB_00695
OG0000379	2506670122	PEBOPBNB_03734	GNJGOIBN_01865, GNJGOIBN_01890	NHBDKAOG_02544	MCBBHCNB_02202	lcl|AMXB01000001.1_prot_ENO83218.1_91	BFLDHLJO_02418	CEKMHFBL_00664	BBLLADNB_00697
OG0000380	2506670172	PEBOPBNB_02931	GNJGOIBN_01445, GNJGOIBN_01504	NHBDKAOG_02819	MCBBHCNB_01811	lcl|AMXB01000021.1_prot_ENO80042.1_2488	BFLDHLJO_02488	CEKMHFBL_04081	BBLLADNB_02511
OG0000381	2506670179	PEBOPBNB_02938	GNJGOIBN_01497	NHBDKAOG_00276, NHBDKAOG_04011	MCBBHCNB_01804	lcl|AMXB01000021.1_prot_ENO80033.1_2479	BFLDHLJO_02496	CEKMHFBL_02462	BBLLADNB_02518
OG0000382	2506670181	PEBOPBNB_02940	GNJGOIBN_01495	NHBDKAOG_04009	MCBBHCNB_01802	lcl|AMXB01000021.1_prot_ENO80031.1_2477	BFLDHLJO_02498	CEKMHFBL_02460, CEKMHFBL_02614	BBLLADNB_02520
OG0000383	2506670182	PEBOPBNB_02941	GNJGOIBN_01494	NHBDKAOG_04008	MCBBHCNB_01801	lcl|AMXB01000021.1_prot_ENO80030.1_2476	BFLDHLJO_02499	CEKMHFBL_00506, CEKMHFBL_02459	BBLLADNB_02521
OG0000384	2506670191	PEBOPBNB_02951	GNJGOIBN_01484	NHBDKAOG_03999	MCBBHCNB_01791	lcl|AMXB01000021.1_prot_ENO80021.1_2467	BFLDHLJO_02509	CEKMHFBL_02449, CEKMHFBL_03231	BBLLADNB_02896
OG0000385	2506670197, 2506672417	PEBOPBNB_02475	GNJGOIBN_02835	NHBDKAOG_03313	MCBBHCNB_03100	lcl|AMXB01000021.1_prot_ENO80016.1_2462	BFLDHLJO_01139	CEKMHFBL_00544	BBLLADNB_02032
OG0000386	2506670209	PEBOPBNB_02633	GNJGOIBN_02676	NHBDKAOG_00080	MCBBHCNB_02940	lcl|AMXB01000007.1_prot_ENO82149.1_1068, lcl|AMXB01000028.1_prot_ENO78036.1_2984	BFLDHLJO_01662	CEKMHFBL_00443	BBLLADNB_02748
OG0000387	2506670215, 2506670351	PEBOPBNB_03039	GNJGOIBN_03053	NHBDKAOG_01121	MCBBHCNB_03327	lcl|AMXB01000002.1_prot_ENO83079.1_339	BFLDHLJO_00665	CEKMHFBL_00280	BBLLADNB_02947
OG0000388	2506670238	PEBOPBNB_01588	GNJGOIBN_01062	NHBDKAOG_03171, NHBDKAOG_03183	MCBBHCNB_01339	lcl|AMXB01000007.1_prot_ENO82185.1_1104	BFLDHLJO_01986	CEKMHFBL_02373	BBLLADNB_02768
OG0000389	2506670239	PEBOPBNB_01587	GNJGOIBN_01061	NHBDKAOG_03172, NHBDKAOG_03184	MCBBHCNB_01338	lcl|AMXB01000021.1_prot_ENO80071.1_2517	BFLDHLJO_01987	CEKMHFBL_02372	BBLLADNB_02769
OG0000390	2506670261	PEBOPBNB_01537	GNJGOIBN_01310	NHBDKAOG_00200, NHBDKAOG_03120	MCBBHCNB_01592	lcl|AMXB01000011.1_prot_ENO81466.1_1522	BFLDHLJO_00224	CEKMHFBL_02404	BBLLADNB_01617
OG0000391	2506670265	PEBOPBNB_02308	GNJGOIBN_02902	NHBDKAOG_01559	MCBBHCNB_03173	lcl|AMXB01000077.1_prot_ENO74626.1_4221	BFLDHLJO_03414	CEKMHFBL_00707, CEKMHFBL_00709	BBLLADNB_00302
OG0000392	2506670274	PEBOPBNB_03046	GNJGOIBN_03019, GNJGOIBN_03060	NHBDKAOG_01208	MCBBHCNB_03334	lcl|AMXB01000001.1_prot_ENO83209.1_82	BFLDHLJO_00673	CEKMHFBL_02834	BBLLADNB_01479
OG0000393	2506670293, 2506671627, 2506671633, 2506672132, 2506672135					lcl|AMXB01000002.1_prot_ENO83096.1_356, lcl|AMXB01000002.1_prot_ENO83099.1_359, lcl|AMXB01000014.1_prot_ENO81154.1_1918, lcl|AMXB01000043.1_prot_ENO76112.1_3654, lcl|AMXB01000047.1_prot_ENO75811.1_3770			
OG0000394	2506670322	PEBOPBNB_00166, PEBOPBNB_02460	GNJGOIBN_02819	NHBDKAOG_01572, NHBDKAOG_03701	MCBBHCNB_03083		BFLDHLJO_01395	CEKMHFBL_02331	BBLLADNB_01532
OG0000395	2506670327	PEBOPBNB_00381	GNJGOIBN_03537, GNJGOIBN_03627		MCBBHCNB_03817, MCBBHCNB_03914	lcl|AMXB01000029.1_prot_ENO77760.1_3017	BFLDHLJO_00015	CEKMHFBL_02980	BBLLADNB_03371
OG0000396	2506670336, 2506670525	PEBOPBNB_00811	GNJGOIBN_00207	NHBDKAOG_04070	MCBBHCNB_00469	lcl|AMXB01000022.1_prot_ENO79631.1_2568	BFLDHLJO_01901	CEKMHFBL_01673	BBLLADNB_03646
OG0000397	2506670371	PEBOPBNB_01589	GNJGOIBN_01063	NHBDKAOG_03169	MCBBHCNB_01340	lcl|AMXB01000017.1_prot_ENO80799.1_2196	BFLDHLJO_02388	CEKMHFBL_01290, CEKMHFBL_02374	BBLLADNB_02767
OG0000398	2506670381	PEBOPBNB_02646	GNJGOIBN_02301, GNJGOIBN_02320	NHBDKAOG_01091	MCBBHCNB_02623	lcl|AMXB01000001.1_prot_ENO83169.1_42	BFLDHLJO_01650	CEKMHFBL_03053	BBLLADNB_02463
OG0000399	2506670397	PEBOPBNB_00112	GNJGOIBN_03282	NHBDKAOG_01894	MCBBHCNB_03558	lcl|AMXB01000016.1_prot_ENO80857.1_2050, lcl|AMXB01000024.1_prot_ENO79014.1_2698	BFLDHLJO_00627	CEKMHFBL_03480	BBLLADNB_02644
OG0000400	2506670427	PEBOPBNB_01618	GNJGOIBN_00640	NHBDKAOG_03591, NHBDKAOG_03614	MCBBHCNB_00916	lcl|AMXB01000022.1_prot_ENO79620.1_2557	BFLDHLJO_02408	CEKMHFBL_02397	BBLLADNB_03470
OG0000401	2506670428	PEBOPBNB_01617	GNJGOIBN_00639	NHBDKAOG_02279, NHBDKAOG_03592, NHBDKAOG_03615	MCBBHCNB_00915		BFLDHLJO_02407	CEKMHFBL_02396	BBLLADNB_03469
OG0000402	2506670429	PEBOPBNB_01616	GNJGOIBN_00638	NHBDKAOG_03593, NHBDKAOG_03616	MCBBHCNB_00914	lcl|AMXB01000015.1_prot_ENO81008.1_1980	BFLDHLJO_02406	CEKMHFBL_02395	BBLLADNB_03468
OG0000403	2506670431	PEBOPBNB_01615	GNJGOIBN_00637	NHBDKAOG_03594, NHBDKAOG_03617	MCBBHCNB_00913	lcl|AMXB01000022.1_prot_ENO79619.1_2556	BFLDHLJO_02405	CEKMHFBL_02394	BBLLADNB_03467
OG0000404	2506670435, 2506672688	PEBOPBNB_01085	GNJGOIBN_04307	NHBDKAOG_00906	MCBBHCNB_04600		BFLDHLJO_01492, BFLDHLJO_01493	CEKMHFBL_01000	BBLLADNB_01699
OG0000405	2506670444	PEBOPBNB_00449	GNJGOIBN_04063	NHBDKAOG_00674	MCBBHCNB_04326	lcl|AMXB01000022.1_prot_ENO79608.1_2545	BFLDHLJO_01104	CEKMHFBL_02628	BBLLADNB_01087, BBLLADNB_03189
OG0000406	2506670468	PEBOPBNB_01154	GNJGOIBN_00609	NHBDKAOG_03663	MCBBHCNB_00881	lcl|AMXB01000022.1_prot_ENO79589.1_2526, lcl|AMXB01000030.1_prot_ENO77592.1_3093	BFLDHLJO_01537	CEKMHFBL_00196	BBLLADNB_03157
OG0000407	2506670470	PEBOPBNB_01152	GNJGOIBN_00611	NHBDKAOG_03661	MCBBHCNB_00883	lcl|AMXB01000022.1_prot_ENO79588.1_2525, lcl|AMXB01000030.1_prot_ENO77595.1_3096	BFLDHLJO_01539	CEKMHFBL_00198	BBLLADNB_02389
OG0000408	2506670475	PEBOPBNB_01149	GNJGOIBN_00617	NHBDKAOG_03656	MCBBHCNB_00888	lcl|AMXB01000011.1_prot_ENO81561.1_1617	BFLDHLJO_01544	CEKMHFBL_00203, CEKMHFBL_04037	BBLLADNB_02384
OG0000409	2506670476	PEBOPBNB_01148	GNJGOIBN_00618	NHBDKAOG_03655	MCBBHCNB_00889	lcl|AMXB01000011.1_prot_ENO81560.1_1616	BFLDHLJO_01545	CEKMHFBL_00204, CEKMHFBL_04036	BBLLADNB_02383
OG0000410	2506670479	PEBOPBNB_01145	GNJGOIBN_00621	NHBDKAOG_03652	MCBBHCNB_00892	lcl|AMXB01000011.1_prot_ENO81559.1_1615	BFLDHLJO_01548	CEKMHFBL_00207, CEKMHFBL_04033	BBLLADNB_03116
OG0000411	2506670481	PEBOPBNB_01143	GNJGOIBN_00623	NHBDKAOG_03651	MCBBHCNB_00894	lcl|AMXB01000011.1_prot_ENO81558.1_1614	BFLDHLJO_01550	CEKMHFBL_00209, CEKMHFBL_04031	BBLLADNB_03114
OG0000412	2506670483	PEBOPBNB_01142	GNJGOIBN_00625	NHBDKAOG_03649	MCBBHCNB_00896	lcl|AMXB01000011.1_prot_ENO81557.1_1613	BFLDHLJO_01551	CEKMHFBL_00211, CEKMHFBL_04029	BBLLADNB_03113
OG0000413	2506670484	PEBOPBNB_01141	GNJGOIBN_00626	NHBDKAOG_03648	MCBBHCNB_00897	lcl|AMXB01000011.1_prot_ENO81556.1_1612	BFLDHLJO_01552	CEKMHFBL_00212, CEKMHFBL_04028	BBLLADNB_03112
OG0000414	2506670487	PEBOPBNB_01138	GNJGOIBN_00630	NHBDKAOG_03645	MCBBHCNB_00901	lcl|AMXB01000034.1_prot_ENO77042.1_3277	BFLDHLJO_01555	CEKMHFBL_00215, CEKMHFBL_04024	BBLLADNB_03109
OG0000415	2506670489	PEBOPBNB_01136	GNJGOIBN_00632	NHBDKAOG_02725, NHBDKAOG_03644	MCBBHCNB_00903	lcl|AMXB01000018.1_prot_ENO80675.1_2233	BFLDHLJO_01557	CEKMHFBL_00216, CEKMHFBL_04022	
OG0000416	2506670517	PEBOPBNB_00786	GNJGOIBN_04282	NHBDKAOG_03067	MCBBHCNB_04575	lcl|AMXB01000033.1_prot_ENO77208.1_3259	BFLDHLJO_04038	CEKMHFBL_01981	BBLLADNB_02451, BBLLADNB_03609
OG0000417	2506670521, 2506671548	PEBOPBNB_02382	GNJGOIBN_02495	NHBDKAOG_01887	MCBBHCNB_02785	lcl|AMXB01000039.1_prot_ENO76468.1_3544	BFLDHLJO_00754	CEKMHFBL_00329	BBLLADNB_03073
OG0000418	2506670555, 2506672594	PEBOPBNB_01419	GNJGOIBN_01165	NHBDKAOG_03104	MCBBHCNB_01428	lcl|AMXB01000022.1_prot_ENO79624.1_2561	BFLDHLJO_00302	CEKMHFBL_04049	BBLLADNB_01026
OG0000419	2506670562	PEBOPBNB_01423	GNJGOIBN_01170	NHBDKAOG_01343	MCBBHCNB_01433	lcl|AMXB01000032.1_prot_ENO77281.1_3215	BFLDHLJO_00306	CEKMHFBL_04044	BBLLADNB_00588, BBLLADNB_03486
OG0000420	2506670568	PEBOPBNB_00661	GNJGOIBN_00542	NHBDKAOG_03749, NHBDKAOG_03763	MCBBHCNB_00823	lcl|AMXB01000004.1_prot_ENO82610.1_569	BFLDHLJO_01435	CEKMHFBL_01449	BBLLADNB_00721
OG0000421	2506670581	PEBOPBNB_00674		NHBDKAOG_03736, NHBDKAOG_03750	MCBBHCNB_00836	lcl|AMXB01000004.1_prot_ENO82623.1_582	BFLDHLJO_01448, BFLDHLJO_03100	CEKMHFBL_01436	BBLLADNB_00734
OG0000422	2506670583	PEBOPBNB_01096	GNJGOIBN_04296	NHBDKAOG_00896	MCBBHCNB_04589	lcl|AMXB01000011.1_prot_ENO81438.1_1494	BFLDHLJO_01504	CEKMHFBL_01011	BBLLADNB_00479, BBLLADNB_01710
OG0000423	2506670587, 2506671180	PEBOPBNB_03430	GNJGOIBN_00693		MCBBHCNB_00973	lcl|AMXB01000001.1_prot_ENO83229.1_102, lcl|AMXB01000003.1_prot_ENO82753.1_395	BFLDHLJO_03723	CEKMHFBL_04017	BBLLADNB_02129
OG0000424	2506670592	PEBOPBNB_00850	GNJGOIBN_00010, GNJGOIBN_04414	NHBDKAOG_00353	MCBBHCNB_04747	lcl|AMXB01000011.1_prot_ENO81499.1_1555	BFLDHLJO_03656	CEKMHFBL_02490	BBLLADNB_02763
OG0000425	2506670605, 2506672362	PEBOPBNB_01553	GNJGOIBN_03847	NHBDKAOG_00817	MCBBHCNB_04124	lcl|AMXB01000052.1_prot_ENO75511.1_3902	BFLDHLJO_03489	CEKMHFBL_00055	BBLLADNB_02634
OG0000426	2506670609	PEBOPBNB_01173, PEBOPBNB_03234	GNJGOIBN_00558, GNJGOIBN_01582	NHBDKAOG_00379	MCBBHCNB_01888		BFLDHLJO_01571	CEKMHFBL_00955	BBLLADNB_01766
OG0000427	2506670622	PEBOPBNB_01810	GNJGOIBN_00796, GNJGOIBN_00825	NHBDKAOG_03057	MCBBHCNB_01076	lcl|AMXB01000013.1_prot_ENO81289.1_1827	BFLDHLJO_03286	CEKMHFBL_02113	BBLLADNB_03730
OG0000428	2506670624	PEBOPBNB_01809	GNJGOIBN_00795, GNJGOIBN_00824	NHBDKAOG_03058	MCBBHCNB_01075	lcl|AMXB01000013.1_prot_ENO81290.1_1828	BFLDHLJO_03285	CEKMHFBL_02114	BBLLADNB_03731
OG0000429	2506670625	PEBOPBNB_01808	GNJGOIBN_00794, GNJGOIBN_00823	NHBDKAOG_03059	MCBBHCNB_01074	lcl|AMXB01000013.1_prot_ENO81291.1_1829	BFLDHLJO_03284	CEKMHFBL_02115	BBLLADNB_03732
OG0000430	2506670639	PEBOPBNB_01794	GNJGOIBN_00782	NHBDKAOG_03777	MCBBHCNB_01062	lcl|AMXB01000068.1_prot_ENO74855.1_4121	BFLDHLJO_03272, BFLDHLJO_03342	CEKMHFBL_00003	BBLLADNB_02908
OG0000431	2506670646	PEBOPBNB_01786	GNJGOIBN_00774	NHBDKAOG_02585, NHBDKAOG_03367	MCBBHCNB_01054	lcl|AMXB01000068.1_prot_ENO74864.1_4130	BFLDHLJO_03350	CEKMHFBL_03830	BBLLADNB_00854
OG0000432	2506670659	PEBOPBNB_01781	GNJGOIBN_00769	NHBDKAOG_03370	MCBBHCNB_01049	lcl|AMXB01000078.1_prot_ENO74603.1_4223	BFLDHLJO_03355	CEKMHFBL_03833	BBLLADNB_00849, BBLLADNB_02009
OG0000433	2506670720	PEBOPBNB_02168	GNJGOIBN_03411, GNJGOIBN_03438	NHBDKAOG_01360	MCBBHCNB_03713	lcl|AMXB01000035.1_prot_ENO76923.1_3333	BFLDHLJO_03058	CEKMHFBL_03566	BBLLADNB_02012
OG0000434	2506670736	PEBOPBNB_00557, PEBOPBNB_00724	GNJGOIBN_03551	NHBDKAOG_04567	MCBBHCNB_03835	lcl|AMXB01000027.1_prot_ENO78234.1_2870	BFLDHLJO_03071	CEKMHFBL_02959	BBLLADNB_02531
OG0000435	2506670739	PEBOPBNB_02024	GNJGOIBN_03450	NHBDKAOG_01986	MCBBHCNB_03732	lcl|AMXB01000024.1_prot_ENO78995.1_2679, lcl|AMXB01000035.1_prot_ENO76927.1_3337	BFLDHLJO_00960	CEKMHFBL_02916	BBLLADNB_00095
OG0000436	2506670752	PEBOPBNB_02009	GNJGOIBN_03466	NHBDKAOG_01177	MCBBHCNB_03748	lcl|AMXB01000026.1_prot_ENO78497.1_2840, lcl|AMXB01000032.1_prot_ENO77257.1_3191	BFLDHLJO_00976	CEKMHFBL_02078	BBLLADNB_00080
OG0000437	2506670753	PEBOPBNB_02008	GNJGOIBN_03467	NHBDKAOG_01176	MCBBHCNB_03749	lcl|AMXB01000032.1_prot_ENO77256.1_3190	BFLDHLJO_00977	CEKMHFBL_02077	BBLLADNB_00079, BBLLADNB_01784
OG0000438	2506670754	PEBOPBNB_02007	GNJGOIBN_03468	NHBDKAOG_01175	MCBBHCNB_03750	lcl|AMXB01000032.1_prot_ENO77255.1_3189	BFLDHLJO_00978	CEKMHFBL_02076	BBLLADNB_00078, BBLLADNB_01783
OG0000439	2506670792	PEBOPBNB_02686	GNJGOIBN_01124	NHBDKAOG_01937	MCBBHCNB_02608	lcl|AMXB01000004.1_prot_ENO82674.1_633, lcl|AMXB01000008.1_prot_ENO82001.1_1229, lcl|AMXB01000025.1_prot_ENO78747.1_2772		CEKMHFBL_00723	BBLLADNB_03737
OG0000440	2506670820, 2506672503	PEBOPBNB_00372	GNJGOIBN_03891	NHBDKAOG_00777	MCBBHCNB_04170	lcl|AMXB01000039.1_prot_ENO76456.1_3532	BFLDHLJO_00024	CEKMHFBL_02894	BBLLADNB_02803
OG0000441	2506670878	PEBOPBNB_02824	GNJGOIBN_02102	NHBDKAOG_02307	MCBBHCNB_02406	lcl|AMXB01000001.1_prot_ENO83183.1_56, lcl|AMXB01000007.1_prot_ENO82084.1_1003	BFLDHLJO_01733	CEKMHFBL_00740	BBLLADNB_01232
OG0000442	2506670885	PEBOPBNB_00103	GNJGOIBN_03098	NHBDKAOG_01368	MCBBHCNB_03373	lcl|AMXB01000001.1_prot_ENO83177.1_50, lcl|AMXB01000015.1_prot_ENO81029.1_2001	BFLDHLJO_02381	CEKMHFBL_02745	BBLLADNB_02882
OG0000443	2506670900	PEBOPBNB_03012	GNJGOIBN_03167	NHBDKAOG_01246, NHBDKAOG_01328, NHBDKAOG_04552	MCBBHCNB_03441	lcl|AMXB01000005.1_prot_ENO82399.1_694	BFLDHLJO_01294		BBLLADNB_00660
OG0000444	2506670955, 2506671982	PEBOPBNB_01265	GNJGOIBN_04376	NHBDKAOG_02862, NHBDKAOG_04062	MCBBHCNB_04667		BFLDHLJO_04122	CEKMHFBL_02135	BBLLADNB_00390
OG0000445	2506670966	PEBOPBNB_00333	GNJGOIBN_03758, GNJGOIBN_03764	NHBDKAOG_00697	MCBBHCNB_04045	lcl|AMXB01000010.1_prot_ENO81673.1_1441	BFLDHLJO_00057	CEKMHFBL_01273	BBLLADNB_01437
OG0000446	2506670973	PEBOPBNB_01320	GNJGOIBN_04180	NHBDKAOG_00509, NHBDKAOG_00510	MCBBHCNB_04468	lcl|AMXB01000065.1_prot_ENO74956.1_4093	BFLDHLJO_04074	CEKMHFBL_01654	BBLLADNB_02773
OG0000447	2506670978	PEBOPBNB_03036	GNJGOIBN_02823	NHBDKAOG_02182, NHBDKAOG_03345	MCBBHCNB_03087	lcl|AMXB01000010.1_prot_ENO81657.1_1425	BFLDHLJO_00658	CEKMHFBL_02663	BBLLADNB_02950
OG0000448	2506670988	PEBOPBNB_02033	GNJGOIBN_01968, GNJGOIBN_03501	NHBDKAOG_01480	MCBBHCNB_02281	lcl|AMXB01000006.1_prot_ENO82221.1_825	BFLDHLJO_00952	CEKMHFBL_01608	BBLLADNB_00104
OG0000449	2506671015	PEBOPBNB_01709	GNJGOIBN_01373	NHBDKAOG_01760, NHBDKAOG_02363	MCBBHCNB_01639	lcl|AMXB01000029.1_prot_ENO77778.1_3035	BFLDHLJO_02293	CEKMHFBL_00681	BBLLADNB_03567
OG0000450	2506671041	PEBOPBNB_00526, PEBOPBNB_02128	GNJGOIBN_03400	NHBDKAOG_04015	MCBBHCNB_03683	lcl|AMXB01000007.1_prot_ENO82107.1_1026	BFLDHLJO_02710	CEKMHFBL_03968	BBLLADNB_03298
OG0000451	2506671051	PEBOPBNB_00385	GNJGOIBN_03631	NHBDKAOG_01054	MCBBHCNB_03918	lcl|AMXB01000007.1_prot_ENO82101.1_1020, lcl|AMXB01000030.1_prot_ENO77598.1_3099, lcl|AMXB01000030.1_prot_ENO77600.1_3101	BFLDHLJO_00011	CEKMHFBL_02984	
OG0000452	2506671090	PEBOPBNB_00327	GNJGOIBN_03751	NHBDKAOG_00704	MCBBHCNB_04038	lcl|AMXB01000001.1_prot_ENO83205.1_78	BFLDHLJO_00064	CEKMHFBL_01265, CEKMHFBL_01266	BBLLADNB_03244
OG0000453	2506671095	PEBOPBNB_02425	GNJGOIBN_03151	NHBDKAOG_00202, NHBDKAOG_02675	MCBBHCNB_03425	lcl|AMXB01000001.1_prot_ENO83204.1_77	BFLDHLJO_03004	CEKMHFBL_03583	BBLLADNB_01119
OG0000454	2506671096	PEBOPBNB_02424	GNJGOIBN_03152	NHBDKAOG_01259	MCBBHCNB_03426	lcl|AMXB01000001.1_prot_ENO83203.1_76	BFLDHLJO_03005, BFLDHLJO_04118	CEKMHFBL_03584	BBLLADNB_01120
OG0000455	2506671099	PEBOPBNB_00330	GNJGOIBN_03754, GNJGOIBN_03760	NHBDKAOG_00701	MCBBHCNB_04041	lcl|AMXB01000001.1_prot_ENO83201.1_74	BFLDHLJO_00060	CEKMHFBL_01269	BBLLADNB_03241
OG0000456	2506671100	PEBOPBNB_00331	GNJGOIBN_03755, GNJGOIBN_03761	NHBDKAOG_00700	MCBBHCNB_04042	lcl|AMXB01000007.1_prot_ENO82110.1_1029	BFLDHLJO_00059	CEKMHFBL_01270	BBLLADNB_01439
OG0000457	2506671104	PEBOPBNB_02694	GNJGOIBN_02813, GNJGOIBN_03061	NHBDKAOG_01573	MCBBHCNB_03080, MCBBHCNB_03336		BFLDHLJO_03020	CEKMHFBL_02332, CEKMHFBL_02939	
OG0000458	2506671105, 2506672481	PEBOPBNB_03176	GNJGOIBN_01876	NHBDKAOG_00454	MCBBHCNB_02189	lcl|AMXB01000039.1_prot_ENO76454.1_3530	BFLDHLJO_01693	CEKMHFBL_01536	BBLLADNB_03535
OG0000459	2506671106	PEBOPBNB_00764	GNJGOIBN_00266	NHBDKAOG_04024	MCBBHCNB_00536	lcl|AMXB01000002.1_prot_ENO82990.1_250	BFLDHLJO_00504, BFLDHLJO_03132	CEKMHFBL_01523	BBLLADNB_00425
OG0000460	2506671140, 2506671568	PEBOPBNB_00897	GNJGOIBN_02484	NHBDKAOG_01943	MCBBHCNB_02774	lcl|AMXB01000014.1_prot_ENO81165.1_1929, lcl|AMXB01000049.1_prot_ENO75671.1_3810		CEKMHFBL_01409	BBLLADNB_00189
OG0000461	2506671148	PEBOPBNB_02156	GNJGOIBN_03928	NHBDKAOG_00755	MCBBHCNB_04206	lcl|AMXB01000002.1_prot_ENO83001.1_261, lcl|AMXB01000008.1_prot_ENO81995.1_1223	BFLDHLJO_03834	CEKMHFBL_01707	BBLLADNB_02682
OG0000462	2506671167, 2506671386	PEBOPBNB_02490	GNJGOIBN_02198, GNJGOIBN_02221	NHBDKAOG_01730	MCBBHCNB_02502		BFLDHLJO_01174	CEKMHFBL_01135	BBLLADNB_02424
OG0000463	2506671172	PEBOPBNB_00629	GNJGOIBN_00032	NHBDKAOG_04508	MCBBHCNB_00260	lcl|AMXB01000011.1_prot_ENO81472.1_1528	BFLDHLJO_01601, BFLDHLJO_01602	CEKMHFBL_01639	BBLLADNB_01789
OG0000464	2506671219, 2506672064	PEBOPBNB_02431	GNJGOIBN_03146	NHBDKAOG_02405	MCBBHCNB_03420	lcl|AMXB01000011.1_prot_ENO81530.1_1586	BFLDHLJO_02997	CEKMHFBL_03578	BBLLADNB_01113
OG0000465	2506671233	PEBOPBNB_00707	GNJGOIBN_00271	NHBDKAOG_01648	MCBBHCNB_00540	lcl|AMXB01000012.1_prot_ENO81326.1_1629, lcl|AMXB01000018.1_prot_ENO80678.1_2236	BFLDHLJO_03156	CEKMHFBL_01945	BBLLADNB_00402
